,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,100.83,75.93,61.49,72.36,93.74,276.85,7177.76,17757.06,17600.22,21082.0,24395.76,20497.4,99030.87,111285.1,166322.91,125257.0
e_1,44.76,108.39,55.91,78.99,93.39,354.32,7841.8,30349.58,17279.98,20043.63,30148.75,39807.11,100012.8,91372.35,188233.6,134555.57
d_1,51.92,47.46,125.38,51.04,91.66,306.93,7487.55,8872.37,14352.05,34512.11,26958.44,30707.04,85077.38,120889.89,134713.93,149799.49
c_1,40.58,41.24,58.54,141.21,137.73,280.83,6736.0,11377.65,15290.6,9006.84,19192.42,32961.29,79979.72,96106.19,130913.8,120508.87
b_1,36.51,39.0,45.01,53.05,186.22,539.17,6739.11,14710.19,12864.31,16338.49,13091.74,24775.12,62585.14,64073.4,135401.99,110038.41
a_1,28.51,27.02,33.5,39.86,35.26,544.18,6392.1,9822.8,10903.7,9845.48,18282.03,15585.37,60345.96,38237.55,75889.0,84216.2
h_1,14.65,12.41,16.73,18.85,21.45,69.23,3452.17,3538.73,5408.93,4576.92,6484.5,7042.05,17316.04,20750.79,50543.14,38765.06
d_0,8.73,7.69,7.49,25.13,21.21,74.53,1945.59,5238.94,2967.09,3490.79,5461.0,6871.68,17387.71,17620.29,37518.25,39622.21
g_1,8.42,9.6,17.24,11.84,18.67,49.4,1426.29,3299.01,6259.28,4557.41,5016.28,9330.96,19078.31,22884.54,21543.21,28636.95
c_0,9.4,10.37,10.08,12.33,16.29,77.26,1664.84,3338.9,3278.35,6037.26,8734.36,7555.09,21440.5,19951.14,34391.94,31450.41
b_0,8.79,9.43,11.81,14.62,12.07,50.81,1517.74,3071.33,3040.75,3391.8,7144.03,5431.48,19816.22,31693.2,28047.68,28319.45
f_0,5.8,6.25,11.58,13.55,17.47,62.54,1539.76,3095.21,2651.38,3570.24,5151.67,8662.82,17250.97,21053.36,23003.4,49793.11
h_0,7.35,6.11,8.56,8.62,12.35,39.13,755.66,2213.3,2492.85,2485.06,3463.7,3823.36,8844.56,12519.86,25656.29,16391.61
a_0,4.66,6.66,7.22,8.42,12.71,29.67,1122.65,1961.66,1836.18,2231.44,2726.62,4001.92,10987.05,20239.97,24380.85,16249.28
g_0,4.71,4.3,9.06,8.13,9.18,35.39,828.66,1670.34,1363.1,1983.9,3046.16,4990.13,8117.29,10308.11,13742.96,15616.73
e_0,5.08,3.24,5.64,9.08,11.08,37.42,800.71,1777.97,1808.29,2147.66,3376.05,3032.24,12739.46,9743.94,18024.2,27469.3
