,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.41,0.65,0.55,0.62,0.61,0.5,0.26,0.33,0.26,0.28,0.26,0.3,0.19,0.28,0.23,0.23
e_1,0.42,0.4,0.58,0.71,0.62,0.6,0.36,0.33,0.27,0.32,0.3,0.34,0.23,0.29,0.26,0.37
d_1,0.63,0.63,0.4,0.54,0.57,0.56,0.28,0.25,0.31,0.31,0.28,0.27,0.22,0.24,0.18,0.25
c_1,0.61,0.48,0.71,0.37,0.66,0.53,0.32,0.31,0.3,0.17,0.24,0.25,0.23,0.25,0.23,0.26
b_1,0.63,0.59,0.63,0.43,0.36,0.65,0.38,0.34,0.33,0.26,0.3,0.27,0.24,0.25,0.23,0.27
a_1,0.72,0.6,0.57,0.61,0.39,0.3,0.34,0.35,0.25,0.29,0.32,0.25,0.23,0.33,0.22,0.27
h_1,0.63,0.54,0.58,0.58,0.5,0.47,0.23,0.33,0.25,0.25,0.26,0.24,0.23,0.24,0.21,0.24
g_1,0.63,0.58,0.59,0.59,0.55,0.5,0.24,0.21,0.25,0.23,0.24,0.26,0.17,0.22,0.21,0.22
c_0,0.64,0.58,0.4,0.75,0.58,0.6,0.32,0.28,0.22,0.33,0.3,0.25,0.23,0.27,0.22,0.25
d_0,0.55,0.4,0.64,0.7,0.6,0.53,0.32,0.37,0.24,0.23,0.28,0.25,0.24,0.26,0.24,0.3
b_0,0.65,0.54,0.47,0.71,0.66,0.47,0.28,0.28,0.18,0.25,0.21,0.25,0.22,0.29,0.2,0.26
f_0,0.69,0.54,0.57,0.56,0.56,0.5,0.32,0.24,0.25,0.27,0.23,0.2,0.21,0.24,0.16,0.26
h_0,0.6,0.58,0.54,0.58,0.49,0.53,0.34,0.32,0.23,0.28,0.24,0.25,0.24,0.24,0.22,0.22
a_0,0.56,0.52,0.59,0.67,0.61,0.57,0.29,0.31,0.23,0.27,0.17,0.25,0.19,0.18,0.21,0.23
g_0,0.6,0.55,0.61,0.56,0.55,0.53,0.26,0.34,0.24,0.25,0.25,0.27,0.18,0.24,0.23,0.26
e_0,0.74,0.6,0.55,0.57,0.54,0.45,0.27,0.29,0.26,0.22,0.25,0.16,0.26,0.26,0.18,0.17
