,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.39,1.15,0.73,0.61,0.52,0.52,0.87,0.82,0.73,0.87,0.87,0.4,0.82,0.62,0.93,0.66
e_1,0.79,2.42,0.72,0.53,0.61,0.57,0.9,1.74,1.04,0.91,1.17,1.07,1.07,0.48,1.25,0.91
c_1,0.59,0.63,2.72,0.68,1.22,0.62,0.83,0.76,0.88,0.3,0.62,0.84,0.82,0.84,0.75,0.97
d_1,0.7,0.68,0.49,3.13,0.55,0.5,1.07,0.41,0.88,1.95,1.14,0.94,1.08,1.08,0.95,1.07
b_1,0.59,0.58,0.62,0.69,3.19,1.4,0.74,0.91,0.72,0.81,0.36,1.07,1.06,1.07,0.68,0.98
a_1,0.76,0.61,0.64,0.76,0.55,4.32,0.91,0.89,0.85,0.77,1.04,0.99,1.12,1.15,0.58,0.98
h_1,1.06,0.72,0.78,0.79,0.78,0.67,2.67,0.96,1.44,1.19,1.11,1.16,0.65,1.44,1.01,1.49
d_0,0.88,0.65,1.53,0.43,0.79,0.62,1.21,1.98,1.22,0.79,1.08,1.02,1.21,1.36,1.28,1.28
g_1,0.77,0.57,0.78,1.31,0.76,0.72,1.13,0.99,3.41,1.25,1.23,1.79,1.05,1.35,1.06,0.84
c_0,0.95,0.79,0.65,0.92,0.52,0.71,1.15,1.06,1.16,2.33,2.46,1.36,1.21,1.15,1.45,1.18
b_0,0.98,0.79,0.78,0.9,0.54,0.58,1.31,1.14,1.17,1.1,2.59,1.22,1.08,1.24,2.49,1.26
f_0,0.57,0.6,0.96,0.9,0.86,0.95,1.2,1.27,1.25,1.1,1.27,2.79,1.25,2.7,0.95,1.43
h_0,1.01,0.75,0.88,0.85,0.86,0.76,0.69,1.01,1.52,1.23,1.18,1.13,0.82,1.39,0.98,1.83
e_0,0.91,0.35,1.14,0.8,0.91,0.92,1.33,0.99,1.12,1.2,1.06,1.4,1.32,3.22,1.01,1.43
a_0,0.86,0.81,0.95,0.74,0.84,0.41,1.18,1.14,1.35,1.12,1.22,1.31,1.35,1.38,3.26,1.57
g_0,0.66,0.59,0.87,1.29,0.86,0.67,1.2,0.95,0.87,1.09,1.14,2.04,1.08,1.44,0.92,0.87
