,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.41,1.05,1.44,1.65,2.98,17.57,26.49,27.17,37.16,37.81,46.31,72.72,100.94,109.06,88.35
e_1,0.71,1.0,0.95,1.55,1.5,3.16,19.68,24.99,25.88,42.29,40.06,51.06,72.39,90.44,106.87,117.03
d_1,0.96,1.03,1.0,1.09,1.41,3.13,16.9,22.15,34.43,31.94,40.43,42.7,71.77,77.66,85.29,95.89
c_1,0.7,0.65,0.88,1.0,1.47,2.27,14.39,18.77,19.55,17.6,23.62,32.88,54.37,57.47,78.0,77.58
b_1,0.62,0.67,0.72,0.7,1.0,2.78,14.39,17.95,20.36,21.23,24.37,28.99,53.47,52.97,67.71,69.79
a_1,0.34,0.32,0.32,0.43,0.36,1.0,6.45,8.68,7.88,10.76,14.0,13.3,23.32,29.05,31.45,35.5
h_1,0.06,0.05,0.06,0.07,0.07,0.15,1.0,1.56,1.39,1.63,2.13,2.26,3.83,4.66,5.91,5.5
g_1,0.04,0.04,0.05,0.05,0.06,0.12,0.62,1.0,1.09,1.06,1.47,1.97,2.47,3.16,3.76,3.74
c_0,0.04,0.04,0.03,0.05,0.05,0.12,0.71,0.91,1.0,1.36,1.83,1.67,2.87,3.59,4.0,3.77
d_0,0.03,0.02,0.03,0.06,0.05,0.09,0.58,0.9,0.67,1.0,1.22,1.3,2.26,2.6,3.32,3.61
b_0,0.03,0.03,0.02,0.04,0.04,0.07,0.49,0.67,0.57,0.82,1.0,1.2,2.03,3.16,2.69,2.85
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.46,0.51,0.61,0.73,0.82,1.0,1.62,1.97,1.98,3.0
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.26,0.39,0.34,0.45,0.49,0.61,1.0,1.2,1.55,1.2
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.22,0.32,0.29,0.38,0.34,0.49,0.82,1.0,1.21,1.15
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.27,0.26,0.3,0.38,0.51,0.63,0.86,1.0,1.15
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.26,0.27,0.26,0.36,0.34,0.84,0.89,0.89,1.0
