,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,9.94,0.69,0.95,0.56,0.74,0.68,0.98,0.95,2.41,0.74,1.04,0.94,0.88,1.02,0.68,1.07
f_1,1.78,10.45,0.69,0.62,0.63,0.55,0.85,0.94,1.0,0.76,0.66,0.81,0.88,1.03,0.59,0.91
c_1,0.61,0.64,11.38,0.67,1.7,0.74,0.86,0.84,0.84,0.58,0.92,0.7,0.8,0.9,0.99,0.85
d_1,0.66,0.8,0.47,14.98,0.57,0.64,0.96,1.1,0.52,2.71,1.04,1.36,1.3,1.12,1.27,1.0
b_1,0.57,0.64,0.79,0.75,11.93,1.91,0.82,0.72,0.97,0.9,0.95,0.64,0.69,0.94,1.01,1.02
a_1,0.57,0.75,0.8,0.76,0.72,18.63,1.31,0.86,0.76,0.81,1.01,1.11,0.76,0.96,1.19,0.93
h_1,0.75,1.31,0.77,0.96,0.63,0.7,3.04,1.4,0.86,0.84,0.97,1.04,0.89,0.74,0.97,1.38
g_1,0.69,0.68,0.67,2.02,0.57,0.75,0.88,3.62,0.64,1.17,1.9,1.33,1.16,1.13,1.2,0.89
d_0,0.62,0.82,2.82,0.51,0.76,0.71,0.98,0.92,1.82,0.69,1.0,0.86,1.1,0.97,1.01,0.97
c_0,0.75,1.0,0.51,1.1,0.52,0.61,1.29,1.31,0.81,2.54,1.11,3.67,1.69,1.13,1.11,1.25
f_0,0.58,0.73,0.81,0.9,0.75,0.8,1.14,1.04,1.17,1.07,2.65,1.35,1.48,1.15,3.19,1.03
b_0,0.85,0.96,0.72,1.15,0.48,0.5,1.27,1.46,0.82,1.42,1.15,3.27,3.53,1.08,0.96,1.28
a_0,0.74,0.98,0.77,0.81,0.68,0.54,1.24,1.17,0.87,1.25,1.35,1.24,3.17,1.18,1.66,0.97
h_0,0.71,1.26,0.85,0.9,0.65,0.57,0.75,1.48,0.98,1.13,0.84,1.05,1.25,0.79,1.01,1.49
e_0,0.4,1.02,0.81,0.99,0.76,0.76,1.42,1.09,0.77,1.34,1.06,1.24,1.22,1.33,2.88,1.15
g_0,0.59,0.78,0.86,1.73,0.75,0.71,1.05,0.86,0.86,1.0,1.95,1.02,1.02,1.04,1.32,0.81
