,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.42,1.1,1.11,1.57,1.29,1.1,2.28,2.77,2.37,4.01,2.97,3.21,3.29,2.86,2.23,3.66
f_1,1.87,2.44,1.14,1.29,1.04,0.89,2.27,2.07,2.27,2.49,2.62,1.43,2.76,2.73,2.43,3.2
d_1,1.14,1.34,2.53,0.98,1.31,1.35,2.32,2.28,4.24,1.98,2.91,2.59,3.68,2.96,3.06,2.8
c_1,1.08,1.21,1.32,2.65,2.07,1.06,2.11,2.07,1.45,2.18,1.93,3.0,2.97,2.79,2.93,3.28
b_1,1.06,1.25,1.29,1.01,2.75,2.25,2.6,2.21,2.63,2.4,1.71,3.01,3.89,1.85,2.86,3.3
a_1,1.28,1.51,1.24,1.22,0.91,3.23,2.67,2.38,2.84,3.04,2.83,2.6,3.6,2.56,2.85,3.84
h_1,1.38,1.74,1.29,1.38,1.12,1.28,4.07,3.39,2.92,2.66,2.98,2.92,2.49,3.15,2.58,4.34
g_1,1.09,1.21,1.91,1.49,1.32,1.33,2.2,4.4,3.03,2.51,2.71,4.27,3.72,2.87,3.07,2.68
c_0,1.46,1.44,1.28,1.29,1.02,1.5,2.8,2.38,4.11,3.31,5.06,3.24,3.62,3.34,3.26,3.69
d_0,1.31,1.39,0.89,2.24,1.38,1.07,2.67,2.79,2.32,4.02,3.33,3.43,3.71,2.63,2.96,4.14
b_0,1.26,1.47,1.5,1.53,0.95,1.18,2.85,3.09,2.58,2.68,4.24,3.28,3.83,5.45,3.21,3.42
f_0,1.15,1.25,1.55,1.5,1.34,1.56,2.65,2.74,2.86,2.79,3.33,4.38,4.25,2.96,4.89,3.0
h_0,1.42,1.73,1.57,1.42,1.06,1.18,2.18,3.05,2.85,2.73,3.12,2.62,3.01,2.37,3.11,4.94
a_0,1.36,1.38,1.44,1.26,1.63,0.84,2.69,3.04,2.95,3.3,2.78,3.37,4.44,4.84,2.85,3.6
e_0,1.03,1.57,1.31,1.52,1.37,1.35,3.04,2.55,3.11,3.47,2.96,2.61,3.74,2.9,5.02,4.3
g_0,1.14,1.29,1.89,1.55,1.39,1.2,2.1,2.26,2.87,2.54,3.52,4.77,2.94,3.36,2.79,2.92
