,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,115.92,90.49,55.1,86.2,93.14,243.67,6365.08,14504.51,16460.84,19524.56,26080.8,24485.67,59073.34,67371.28,95587.51,140815.75
e_1,56.41,119.08,57.58,119.74,86.5,253.13,7565.14,15964.32,14373.8,28064.14,28040.22,45112.98,70898.24,78477.59,89218.23,146164.72
d_1,59.19,56.6,125.8,66.84,92.44,269.5,6779.77,27427.91,14255.71,14991.51,32854.58,43464.32,75007.94,91064.41,121885.4,125459.24
c_1,47.62,41.44,57.23,169.69,150.29,171.02,5574.03,7049.3,13152.19,11510.76,18922.96,31526.23,59821.42,72383.47,87273.13,123728.59
b_1,49.49,47.19,60.45,53.48,178.06,394.25,6785.2,14269.26,12877.02,16017.95,15104.33,33682.0,60739.17,53756.08,82429.31,123030.49
a_1,37.62,35.4,38.84,66.17,43.73,409.12,5157.51,9913.64,8667.95,13957.93,17968.85,27562.67,48450.58,45561.04,59145.91,88631.46
h_1,20.53,15.63,17.38,26.6,22.28,70.72,3013.8,4482.58,5197.53,4579.34,7822.54,9765.37,15349.94,25834.26,27193.03,45477.11
c_0,14.25,13.05,12.74,20.63,17.46,51.81,1530.24,5059.11,4006.37,4358.27,10320.24,9501.5,16499.14,22486.89,23340.37,29204.12
g_1,9.69,12.12,19.91,18.49,20.65,51.46,1256.45,3679.34,5724.53,3304.09,5378.13,12175.51,13639.61,15953.66,18751.43,22690.82
d_0,12.1,11.34,10.57,32.67,18.7,45.52,1705.13,2964.14,3279.14,5302.63,6107.69,7249.75,15747.29,17981.03,22427.58,24507.51
b_0,12.21,10.93,11.35,19.69,12.94,37.89,1376.77,2867.06,3093.04,3282.92,7576.03,7560.12,14039.56,28025.9,20795.85,22111.96
f_0,8.11,7.49,10.61,16.58,16.56,39.17,1281.16,3126.1,2423.71,3206.41,5028.2,9827.56,13255.49,17590.99,34259.89,19952.79
h_0,10.79,8.11,9.76,14.06,12.33,27.48,825.01,2424.14,2842.05,2589.71,3738.9,5569.46,7811.75,10823.53,16940.91,23621.41
a_0,8.68,7.5,8.29,14.24,12.85,18.64,972.06,2056.7,2441.04,2436.31,3334.13,5430.24,9952.13,16865.92,16209.81,17605.68
e_0,6.93,5.04,7.48,12.8,12.07,29.81,921.22,2164.23,2363.81,2280.23,3870.7,4234.02,8809.48,10142.96,21222.97,17746.1
g_0,5.44,6.21,10.35,10.85,9.56,27.96,766.66,1922.28,1817.41,2261.21,3839.76,7321.75,7038.05,9601.84,14006.23,12652.81
