,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,2.26,0.59,0.46,0.35,0.37,0.38,0.97,0.73,1.77,0.43,1.22,1.09,0.99,1.41,0.72,1.44
f_1,0.52,2.28,0.83,0.41,0.43,0.25,0.84,0.7,0.95,1.05,1.0,0.39,0.97,1.12,0.51,0.97
e_1,0.46,0.5,2.4,0.62,0.4,0.32,0.81,0.74,1.06,2.06,1.13,0.96,0.92,1.2,0.41,1.07
c_1,0.48,0.51,0.41,2.44,0.77,0.44,0.85,0.85,0.3,0.94,0.59,0.96,0.75,1.14,0.8,0.91
b_1,0.54,0.52,0.4,0.48,2.63,0.75,0.82,0.82,0.93,1.06,0.26,0.77,0.6,0.97,0.72,0.92
a_1,0.44,0.46,0.4,0.6,0.56,3.07,1.04,0.71,0.84,1.0,0.99,1.03,0.17,1.25,1.17,1.33
h_1,0.74,0.88,0.51,0.5,0.41,0.3,2.98,1.26,1.22,1.07,1.39,1.06,0.89,0.91,1.09,1.74
g_1,0.93,0.52,0.49,0.51,0.41,0.41,1.1,3.27,0.97,1.03,1.4,1.77,1.08,1.72,1.31,0.85
c_0,0.79,0.63,0.74,0.39,0.38,0.38,1.09,0.98,2.63,1.16,2.42,1.17,1.31,1.39,1.09,1.55
d_0,0.38,0.62,0.59,1.22,0.54,0.39,0.99,0.99,0.7,2.37,1.04,0.94,1.07,1.51,0.87,1.06
b_0,0.75,0.71,0.51,0.75,0.23,0.27,1.18,1.11,1.21,1.25,2.64,1.14,1.92,1.42,1.06,1.38
f_0,0.78,0.28,0.53,0.61,0.55,0.45,1.3,1.21,1.52,1.16,1.28,2.88,1.09,1.49,2.76,1.72
a_0,0.62,0.64,0.6,0.77,0.49,0.23,1.11,1.06,1.22,1.21,1.36,1.07,2.92,1.82,1.01,1.28
h_0,0.7,0.9,0.57,0.65,0.42,0.41,0.58,1.38,1.2,1.17,1.2,1.13,1.14,0.9,0.81,1.59
e_0,0.68,0.56,0.36,0.7,0.69,0.52,1.08,0.94,1.26,1.22,1.22,1.05,0.95,1.87,3.14,1.26
g_0,1.12,0.59,0.54,0.55,0.47,0.34,1.15,0.65,1.33,1.03,1.24,1.71,1.02,1.61,1.29,0.97
