,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.39,1.28,1.57,2.13,4.33,16.55,28.1,37.72,33.4,37.68,,73.24,67.3,120.16,96.33
e_1,0.72,1.0,1.15,1.47,1.69,3.21,19.15,33.86,35.6,43.35,44.39,56.74,79.34,94.0,112.78,
d_1,0.78,0.87,1.0,1.03,1.6,3.53,16.4,22.19,41.48,,30.69,39.34,78.83,55.25,83.46,110.7
c_1,0.64,0.68,0.97,1.0,2.0,2.75,15.06,22.89,,17.28,24.68,34.16,55.47,73.69,84.83,79.82
b_1,0.47,0.59,0.62,0.5,1.0,2.2,6.56,16.85,13.24,14.0,,18.34,41.45,44.66,69.3,44.02
a_1,0.23,0.31,0.28,0.36,0.46,1.0,5.48,,6.85,7.54,10.23,10.63,24.27,,25.46,
h_1,0.06,0.05,0.06,0.07,0.15,0.18,1.0,1.9,1.44,1.87,1.79,2.32,,4.19,8.87,6.48
g_1,0.04,0.03,0.05,0.04,0.06,,0.53,1.0,0.99,1.23,1.21,1.83,2.12,2.59,,4.07
c_0,0.03,0.03,0.02,,0.08,0.15,0.7,1.01,1.0,0.75,2.0,1.34,2.42,2.72,3.21,3.52
d_0,0.03,0.02,,0.06,0.07,0.13,0.53,0.81,1.33,1.0,1.02,1.39,2.35,1.97,3.94,3.32
b_0,0.03,0.02,0.03,0.04,,0.1,0.56,0.83,0.5,0.98,1.0,1.07,1.81,3.34,3.22,2.88
f_0,,0.02,0.03,0.03,0.05,0.09,0.43,0.55,0.75,0.72,0.94,1.0,1.49,2.11,1.76,4.11
h_0,0.01,0.01,0.01,0.02,0.02,0.04,,0.47,0.41,0.43,0.55,0.67,,1.2,1.91,1.38
a_0,0.01,0.01,0.02,0.01,0.02,,0.24,0.39,0.37,0.51,0.3,0.47,0.83,1.0,1.28,1.38
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.11,,0.31,0.25,0.31,0.57,0.52,0.78,,
e_0,0.01,,0.01,0.01,0.02,,0.15,0.25,0.28,0.3,0.35,0.24,0.72,0.73,,1.0
