,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.33,0.49,0.27,0.23,0.24,0.27,0.5,0.68,0.63,0.59,0.56,,0.71,0.63,0.68,0.63
e_1,0.2,2.41,0.29,0.26,0.32,0.3,0.58,0.47,1.12,0.73,0.49,0.67,0.61,0.54,0.65,
c_1,0.29,0.27,2.48,0.22,0.52,0.3,0.6,0.51,0.56,,0.53,0.69,0.8,0.44,0.65,0.6
d_1,0.33,0.25,0.29,2.54,0.28,0.3,0.58,0.48,,1.04,0.47,0.44,0.85,0.59,0.79,0.43
b_1,0.25,0.24,0.24,0.25,2.75,0.53,0.58,0.51,0.7,0.7,,0.48,0.87,0.51,0.89,0.58
a_1,0.35,0.31,0.27,0.22,0.21,3.34,0.6,0.56,0.69,0.68,,,1.0,,,
h_1,0.8,0.55,0.47,0.56,0.54,0.48,3.85,1.12,1.15,1.22,1.07,1.16,,1.02,1.7,1.12
g_1,0.38,0.6,0.59,0.75,0.43,0.52,0.9,4.18,1.15,1.11,1.24,1.69,1.43,1.33,,1.01
d_0,0.62,0.42,0.92,,0.58,0.53,1.36,1.1,3.41,1.42,1.22,1.5,2.28,1.59,2.03,1.16
c_0,0.66,0.6,,0.54,0.52,0.44,1.04,1.16,1.38,3.64,2.43,1.5,1.62,1.48,2.2,1.74
b_0,0.62,0.65,0.5,0.83,,,1.39,1.44,1.32,1.19,3.87,1.23,1.44,1.75,1.5,1.81
f_0,,0.52,0.61,0.7,0.51,,1.21,1.02,1.5,1.45,1.36,4.03,2.5,1.3,1.61,2.05
h_0,0.99,0.73,0.87,0.77,0.7,0.52,,1.87,1.29,1.77,2.24,1.1,,2.18,2.25,1.65
a_0,0.52,0.57,0.8,0.73,0.51,,1.5,0.94,1.21,1.17,1.39,1.54,1.28,4.59,1.91,
g_0,0.76,0.71,0.65,1.03,0.7,,1.43,,1.05,1.27,2.28,2.42,1.98,1.72,,1.91
e_0,0.49,,0.64,0.79,0.74,,1.03,1.38,1.96,1.1,1.36,1.48,1.74,,1.91,4.94
