,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.2,0.53,0.39,0.62,0.44,0.34,0.88,2.05,0.79,0.8,0.97,0.91,1.23,0.5,0.83,1.05
f_1,0.87,2.27,0.44,0.45,0.44,0.31,0.78,0.83,0.61,0.87,1.03,0.32,1.13,0.61,0.84,0.8
d_1,0.48,0.52,2.42,0.38,0.4,0.3,0.9,0.47,0.85,2.0,1.18,1.09,1.26,0.94,0.76,0.99
c_1,0.42,0.53,0.46,2.45,0.82,0.36,0.88,0.76,0.77,0.29,0.8,0.88,1.15,0.62,0.68,1.12
b_1,0.53,0.46,0.46,0.42,2.54,0.73,0.87,0.98,0.76,0.71,0.3,1.02,1.35,0.66,0.54,1.13
a_1,0.44,0.65,0.53,0.46,0.38,3.13,0.96,1.07,0.72,1.31,0.96,0.94,1.17,0.82,0.24,1.16
h_1,0.6,0.85,0.59,0.59,0.56,0.38,3.0,1.12,1.22,1.08,1.03,0.95,0.84,0.94,0.82,1.47
d_0,0.62,0.59,0.28,1.17,0.56,0.44,0.97,2.59,0.87,0.97,1.02,1.35,1.42,0.92,0.95,1.32
g_1,0.57,0.46,0.99,0.44,0.48,0.46,0.9,1.04,3.32,1.17,1.03,1.99,1.43,1.09,1.22,0.72
c_0,0.69,0.71,0.79,0.3,0.49,0.34,1.17,0.93,0.97,2.68,2.31,1.16,1.56,1.16,1.12,1.21
b_0,0.84,0.66,0.73,0.52,0.16,0.34,1.0,1.35,0.96,1.3,2.79,1.2,1.63,1.17,2.33,1.17
f_0,0.67,0.43,0.7,0.54,0.48,0.43,1.36,1.34,1.22,1.42,1.26,2.81,1.64,2.2,0.71,1.53
h_0,0.67,0.85,0.71,0.59,0.41,0.41,0.57,1.24,1.33,1.26,1.29,1.14,0.83,1.08,0.88,1.86
e_0,0.34,0.86,0.59,0.64,0.44,0.39,1.29,1.38,0.89,1.49,1.21,1.58,1.41,3.24,0.92,1.48
a_0,0.65,0.72,0.75,0.62,0.38,0.17,1.09,1.19,1.3,1.24,1.31,1.09,1.74,1.27,3.15,1.35
g_0,0.55,0.53,0.96,0.74,0.57,0.37,1.08,0.96,0.65,1.21,1.01,1.84,1.32,1.1,0.91,0.86
