,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.04,1.66,1.35,1.55,1.44,1.19,0.48,0.45,0.52,0.62,0.49,0.45,0.36,0.28,0.34,0.33
e_1,1.09,1.04,1.55,1.78,1.58,1.4,0.58,0.49,0.57,0.64,0.47,0.57,0.42,0.35,0.51,0.36
d_1,1.92,1.78,1.04,1.57,1.52,1.34,0.66,0.52,0.59,0.44,0.49,0.48,0.42,0.36,0.44,0.26
c_1,1.77,1.39,1.94,1.05,1.82,1.42,0.62,0.61,0.35,0.59,0.45,0.49,0.45,0.37,0.42,0.35
b_1,1.87,1.76,1.96,1.2,1.05,1.88,0.77,0.66,0.5,0.68,0.69,0.51,0.52,0.45,0.46,0.41
a_1,2.42,2.58,2.42,2.19,1.37,1.06,1.02,0.74,0.76,0.85,0.82,0.68,0.74,0.51,0.58,0.51
h_1,4.58,4.32,4.07,4.25,4.1,3.44,1.22,1.3,1.46,1.5,1.27,1.22,1.06,1.18,1.05,0.9
c_0,5.12,5.37,3.41,5.61,4.71,4.0,1.88,1.3,1.97,1.7,1.63,1.43,1.35,1.12,1.31,0.96
d_0,4.49,3.59,5.99,6.12,5.21,4.39,1.86,1.6,1.33,2.08,1.44,1.57,1.36,1.16,1.36,1.2
g_1,5.1,4.66,5.53,5.43,4.73,4.03,1.59,1.55,1.61,1.24,1.38,1.58,1.32,0.96,1.21,1.26
b_0,5.1,5.46,4.37,7.05,5.38,4.2,1.82,1.16,1.93,1.91,1.32,1.54,1.49,1.14,1.28,1.1
f_0,7.51,5.48,5.36,5.87,5.53,4.76,2.17,1.92,1.92,1.48,1.67,1.32,1.62,1.27,1.74,0.99
a_0,7.54,7.19,6.4,6.97,7.96,5.85,2.48,1.9,2.3,2.44,1.53,2.23,1.42,1.67,1.96,1.56
h_0,8.17,7.27,7.31,7.45,6.85,6.13,2.84,2.31,2.46,2.93,2.25,2.12,1.84,1.89,1.69,1.62
e_0,10.64,8.78,6.95,7.38,6.79,6.36,2.99,2.43,2.71,2.51,2.57,1.36,2.14,1.62,1.43,1.35
g_0,9.5,8.21,8.47,9.39,7.26,7.21,2.88,2.48,2.77,3.02,2.43,2.41,1.99,1.62,2.16,1.95
