,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.92,0.67,0.35,0.38,0.26,0.22,0.33,0.31,0.26,0.38,0.31,0.18,0.33,0.22,0.32,0.16
e_1,0.46,0.92,0.34,0.5,0.33,0.19,0.35,0.34,0.28,0.58,0.29,0.31,0.34,0.24,0.3,0.15
d_1,0.47,0.38,0.92,0.32,0.35,0.2,0.41,0.62,0.29,0.24,0.36,0.3,0.37,0.24,0.32,0.24
c_1,0.41,0.34,0.4,0.92,0.58,0.24,0.35,0.26,0.22,0.33,0.22,0.31,0.35,0.2,0.31,0.21
b_1,0.44,0.38,0.41,0.38,0.9,0.42,0.39,0.34,0.3,0.32,0.23,0.31,0.36,0.2,0.28,0.2
a_1,0.39,0.41,0.48,0.39,0.35,0.89,0.4,0.4,0.34,0.34,0.31,0.31,0.42,0.23,0.33,0.21
h_1,0.58,0.41,0.49,0.37,0.31,0.23,0.66,0.37,0.41,0.37,0.35,0.31,0.32,0.23,0.42,0.22
c_0,0.53,0.44,0.45,0.36,0.25,0.25,0.45,0.56,0.35,0.38,0.59,0.37,0.44,0.34,0.37,0.26
g_1,0.42,0.37,0.61,0.42,0.36,0.22,0.4,0.41,0.63,0.32,0.32,0.45,0.32,0.28,0.24,0.24
d_0,0.46,0.37,0.34,0.68,0.39,0.19,0.41,0.28,0.32,0.53,0.32,0.32,0.34,0.28,0.34,0.22
b_0,0.49,0.49,0.45,0.4,0.26,0.2,0.41,0.41,0.31,0.38,0.55,0.34,0.4,0.5,0.35,0.21
f_0,0.4,0.31,0.54,0.42,0.38,0.24,0.5,0.43,0.34,0.36,0.34,0.55,0.35,0.29,0.35,0.49
h_0,0.58,0.46,0.45,0.42,0.32,0.22,0.33,0.36,0.4,0.34,0.33,0.3,0.29,0.24,0.39,0.19
a_0,0.5,0.45,0.47,0.46,0.36,0.17,0.44,0.41,0.28,0.4,0.32,0.33,0.4,0.45,0.29,0.23
g_0,0.4,0.41,0.6,0.43,0.35,0.2,0.4,0.39,0.28,0.34,0.33,0.45,0.38,0.25,0.28,0.27
e_0,0.47,0.37,0.51,0.42,0.36,0.26,0.44,0.4,0.27,0.34,0.3,0.34,0.4,0.24,0.35,0.46
