,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,2.23,0.06,0.02,0.03,0.02,0.02,0.05,0.07,0.06,0.06,,0.06,0.04,0.07,0.04,0.08
e_1,0.02,2.23,0.03,0.03,0.03,0.02,0.05,0.11,0.05,0.07,0.05,0.05,0.05,0.09,,0.06
d_1,0.03,0.04,2.33,0.03,0.02,0.02,0.04,,0.04,0.13,0.06,0.06,0.04,0.06,0.05,0.08
c_1,0.03,0.02,0.02,2.38,0.06,0.02,0.07,0.09,0.03,,0.06,0.05,0.05,0.08,0.06,0.07
b_1,0.04,0.02,0.03,0.03,2.5,0.05,0.05,0.06,0.04,0.05,0.08,,0.05,0.07,0.07,0.06
a_1,0.04,0.03,0.03,0.03,0.03,3.08,0.06,0.07,0.05,0.06,0.04,0.07,,0.06,0.05,0.06
h_1,0.12,0.13,0.11,0.1,0.12,0.07,2.61,0.26,0.22,0.26,0.16,0.21,0.17,,0.14,0.4
d_0,0.19,0.15,,0.26,0.1,0.08,0.33,1.92,0.22,0.34,0.34,0.2,0.27,0.38,0.32,0.32
g_1,0.06,0.1,0.19,0.09,0.08,0.1,0.22,0.24,3.03,0.19,0.23,0.27,0.2,0.35,0.13,
c_0,0.2,0.14,0.08,,0.11,0.07,0.36,0.22,0.28,2.03,0.37,0.53,0.31,0.48,0.19,0.31
f_0,,0.12,0.16,0.17,0.11,0.1,0.32,0.36,0.27,0.33,2.1,0.32,0.24,0.42,0.43,0.31
b_0,0.16,0.14,0.19,0.15,,0.07,0.34,0.33,0.15,0.29,0.25,2.23,0.56,0.28,0.19,0.31
a_0,0.18,0.22,0.16,0.09,0.13,,0.29,0.32,0.31,0.25,0.37,0.22,2.4,,,0.3
h_0,0.26,0.22,0.23,0.25,0.21,0.17,,0.45,0.5,0.47,0.44,0.39,,,0.42,0.65
e_0,0.18,,0.14,0.15,0.16,0.13,0.31,0.34,0.2,0.34,0.43,0.24,,0.37,2.58,
g_0,0.19,0.17,0.37,0.16,0.17,0.13,0.43,0.44,,0.32,0.75,0.5,0.35,0.71,,
