,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.0,1.06,0.91,1.1,0.93,0.64,0.54,1.04,0.54,,0.69,0.57,0.56,0.57,0.43
f_1,1.0,1.0,1.42,0.84,0.84,0.86,0.64,0.66,0.69,0.73,0.63,,0.48,0.52,0.55,0.6
e_1,0.94,0.7,1.0,0.84,1.04,0.93,0.8,0.74,0.65,0.62,0.88,0.59,0.62,0.59,,0.59
c_1,1.1,1.19,1.18,1.0,1.23,0.66,0.69,0.68,,0.57,0.55,0.65,0.6,0.64,0.54,0.72
b_1,0.91,1.19,0.97,0.81,1.0,1.81,0.78,0.57,0.88,,0.67,0.5,0.69,0.76,,0.48
a_1,1.08,1.17,1.08,1.52,0.55,1.0,0.93,0.68,0.73,0.96,0.84,0.66,0.89,,0.64,0.54
h_1,1.57,1.57,1.25,1.45,1.28,1.08,1.0,1.31,0.96,0.89,0.71,0.82,,0.7,0.79,0.99
g_1,1.84,1.51,1.36,1.47,1.75,1.47,0.76,1.0,0.86,0.93,1.0,0.96,1.0,0.85,0.67,
c_0,0.96,1.45,1.53,,1.13,1.38,1.04,1.17,1.0,1.26,0.93,1.16,0.92,1.01,0.85,0.82
b_0,1.86,1.37,1.61,1.77,,1.04,1.13,1.08,0.79,1.0,1.21,1.05,0.73,1.32,0.87,0.8
d_0,,1.59,1.14,1.82,1.5,1.2,1.41,1.0,1.08,0.82,1.0,1.12,1.0,1.04,0.98,0.78
f_0,1.46,,1.7,1.53,1.99,1.52,1.21,1.05,0.86,0.95,0.89,1.0,0.98,0.69,,0.69
h_0,1.75,2.09,1.62,1.67,1.45,1.12,,1.0,1.09,1.36,1.0,1.02,,0.84,1.01,1.06
a_0,1.78,1.93,1.68,1.56,1.32,,1.44,1.17,0.99,0.76,0.96,1.46,1.19,1.0,,1.44
e_0,1.76,1.8,,1.85,,1.57,1.27,1.48,1.18,1.15,1.02,,0.99,,1.0,0.99
g_0,2.3,1.66,1.69,1.38,2.09,1.85,1.01,,1.22,1.25,1.27,1.46,0.94,0.69,1.01,
