,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.06,2.22,2.07,1.74,1.66,1.41,0.55,0.78,0.6,0.52,0.56,0.67,0.37,0.52,0.45,0.46
e_1,1.35,1.06,2.37,2.07,2.46,1.79,0.83,0.81,0.86,0.64,0.62,0.77,0.55,0.57,0.52,0.98
c_1,2.23,1.83,1.06,2.54,2.21,1.73,0.96,0.8,0.41,0.75,0.61,0.61,0.46,0.49,0.49,0.53
d_1,2.48,2.43,2.25,1.06,2.09,2.06,0.75,0.54,0.88,0.68,0.54,0.58,0.46,0.6,0.33,0.51
b_1,3.42,2.38,1.53,2.77,1.06,2.55,1.1,1.04,0.85,1.03,1.24,0.75,0.68,0.71,0.64,0.54
a_1,3.77,3.63,3.79,3.18,1.98,1.07,1.36,1.42,1.29,1.01,1.02,1.24,1.02,1.46,0.85,0.84
h_1,6.16,5.59,5.45,5.36,4.79,4.5,1.33,2.23,1.65,1.8,1.73,1.47,1.71,1.39,1.33,1.42
g_1,6.64,6.85,6.31,6.8,5.95,5.36,2.04,1.33,1.88,1.76,1.71,1.88,1.18,1.67,1.48,1.78
d_0,6.69,4.01,7.58,9.2,6.3,4.84,2.78,2.5,1.5,1.58,1.94,1.91,1.69,2.05,1.58,1.75
c_0,8.0,7.12,12.2,4.57,6.24,5.58,2.66,2.83,2.92,1.53,2.38,1.93,1.94,2.69,1.56,2.02
b_0,7.82,7.62,11.06,6.95,10.62,6.81,2.82,2.65,2.26,1.22,1.49,1.85,1.73,2.09,1.33,1.64
f_0,11.91,7.53,7.94,6.82,7.35,6.87,3.24,2.07,2.44,2.21,2.29,1.48,2.04,1.91,1.19,2.29
h_0,10.18,7.88,8.38,8.58,7.01,6.13,3.73,3.17,2.31,2.04,2.17,1.94,2.4,2.17,1.85,1.8
a_0,9.47,8.72,10.87,9.13,13.58,12.91,3.5,3.14,2.49,1.99,1.64,2.52,2.05,1.54,1.94,2.46
g_0,11.34,11.16,10.45,10.16,9.14,8.58,3.18,4.62,3.22,2.53,2.92,3.16,2.08,2.75,2.87,2.58
e_0,17.07,10.48,11.42,10.09,11.38,11.55,4.74,3.16,3.27,2.75,3.17,1.71,2.45,2.25,2.07,1.55
