,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.45,0.99,1.71,2.04,1.67,1.92,0.49,0.37,0.49,0.33,0.28,0.33,0.23,0.7,0.35,0.31
f_1,1.64,0.44,1.58,1.61,1.81,1.36,0.34,0.39,0.6,0.31,0.32,0.5,0.18,0.26,0.3,0.27
d_1,2.11,2.01,0.41,1.88,1.86,1.58,0.48,0.87,0.29,0.3,0.31,0.33,0.23,0.38,0.29,0.16
c_1,1.35,1.95,2.16,0.4,1.98,1.79,0.5,0.2,0.62,0.79,0.44,0.42,0.26,0.34,0.33,0.2
b_1,2.07,1.88,2.12,1.03,0.39,2.18,0.52,0.43,0.62,0.52,1.36,0.44,0.39,0.42,0.58,0.29
a_1,2.45,2.72,2.85,2.42,1.17,0.32,0.77,0.56,0.63,0.64,0.65,0.48,0.39,0.57,1.37,0.46
h_1,2.83,3.18,2.82,2.92,2.77,2.34,0.32,0.71,0.9,0.59,0.59,0.46,0.72,0.51,0.59,0.41
d_0,1.72,3.3,5.32,4.04,3.03,3.03,1.03,0.37,1.07,0.8,0.69,0.59,0.43,0.54,0.68,0.57
g_1,3.18,3.93,3.01,3.38,3.3,2.96,0.69,0.73,0.3,0.66,0.69,0.59,0.36,0.65,0.56,0.59
c_0,4.02,3.35,1.68,8.0,3.92,2.63,1.03,0.94,0.8,0.35,0.66,0.66,0.46,0.65,0.64,0.46
b_0,3.44,3.05,2.6,4.58,7.07,3.55,1.02,0.83,1.04,0.38,0.34,0.7,0.49,0.68,0.61,0.56
f_0,3.64,6.96,3.03,3.94,3.5,3.09,1.17,0.61,0.56,0.77,0.76,0.34,0.49,0.58,0.69,0.32
h_0,3.61,4.22,3.66,4.26,3.22,4.04,1.71,0.92,1.06,0.83,0.75,0.81,1.09,0.75,0.66,0.65
e_0,5.22,6.6,3.72,5.43,4.79,3.78,1.07,0.88,1.04,0.81,0.79,0.43,0.57,0.29,0.69,0.55
a_0,4.36,4.06,3.62,4.94,5.97,8.5,1.31,0.98,1.03,0.77,0.37,1.26,0.69,1.0,0.31,0.63
g_0,4.44,5.46,4.8,4.63,4.62,3.75,1.08,0.94,1.95,1.03,1.23,0.89,0.51,0.8,0.93,0.93
