,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.68,1.23,0.76,0.88,0.76,0.67,0.87,0.96,0.86,0.84,0.92,0.61,0.82,0.69,0.77,0.9
e_1,0.89,1.73,0.66,1.0,0.72,0.75,1.02,1.59,0.89,0.87,0.98,1.0,0.99,0.82,0.96,0.99
d_1,0.94,0.79,1.93,0.57,0.68,0.79,0.99,0.64,1.02,1.73,1.21,1.04,1.13,1.12,1.25,0.98
c_1,0.8,0.75,0.77,1.99,1.36,0.76,0.94,0.9,0.9,0.59,0.79,0.87,1.0,0.89,0.85,0.92
b_1,0.73,0.77,0.92,0.81,2.14,1.57,1.0,0.86,0.96,0.79,0.58,1.03,0.88,0.91,0.79,0.95
a_1,0.86,0.79,0.89,0.86,0.77,2.83,0.96,0.92,0.98,1.0,1.02,1.2,1.11,1.25,0.84,1.12
h_1,1.07,0.85,1.01,0.79,0.81,0.74,1.7,0.97,1.35,1.02,1.04,0.93,0.83,1.13,1.0,1.26
d_0,0.89,0.78,0.61,1.5,1.05,0.69,0.98,1.43,0.87,0.7,0.91,1.08,1.02,1.08,0.95,1.05
g_1,0.77,0.79,1.33,0.83,0.86,0.75,0.92,0.85,1.99,1.11,1.16,1.6,1.1,1.3,1.13,0.89
c_0,0.95,0.79,1.09,0.68,0.73,0.8,1.12,0.95,1.29,1.6,1.95,1.2,1.15,1.25,1.48,1.21
b_0,0.97,0.92,1.01,0.91,0.61,0.46,1.2,1.05,1.09,1.07,1.69,1.09,1.17,1.15,2.14,1.03
f_0,0.77,0.7,1.16,0.86,0.98,0.83,1.01,0.86,1.18,1.14,1.14,1.79,1.35,2.13,1.18,1.3
h_0,1.11,0.78,0.96,0.83,0.85,0.87,0.83,0.9,1.21,1.09,1.14,1.12,0.93,1.14,1.07,1.2
e_0,0.94,0.74,1.08,0.78,0.95,0.8,1.11,0.95,1.13,1.04,1.3,1.2,1.11,2.09,1.03,1.32
a_0,0.97,0.82,1.03,0.94,0.89,0.48,1.09,1.0,1.09,1.17,1.21,1.19,1.18,1.1,2.02,0.93
g_0,0.8,0.74,1.32,0.78,0.86,0.83,1.06,0.82,1.0,1.11,1.16,1.64,1.09,1.08,1.22,1.05
