,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.44,1.23,2.07,1.94,1.95,1.97,0.65,0.58,0.42,0.41,0.41,0.5,0.43,0.34,0.82,0.4
f_1,1.96,0.44,1.69,2.18,1.95,1.8,0.39,0.62,0.39,0.45,0.38,0.95,0.37,0.2,0.29,0.3
d_1,2.17,1.95,0.43,2.03,1.81,2.23,0.54,0.39,0.38,1.12,0.42,0.38,0.34,0.26,0.48,0.2
c_1,1.69,2.12,3.13,0.4,2.6,1.97,0.63,0.58,0.85,0.22,0.43,0.38,0.44,0.33,0.46,0.3
b_1,2.4,2.35,2.2,1.25,0.38,2.53,0.91,0.84,0.52,0.57,1.1,0.48,0.58,0.35,0.55,0.32
a_1,3.06,3.04,2.8,2.99,1.35,0.32,0.89,0.96,0.81,0.79,0.79,0.58,1.65,0.56,0.51,0.57
h_1,3.3,3.34,2.96,3.27,3.06,2.84,0.34,1.0,0.67,0.8,0.57,0.54,0.63,0.75,0.56,0.41
g_1,3.33,4.02,3.19,4.23,3.75,3.15,0.71,0.32,0.69,0.71,0.66,0.75,0.66,0.41,0.85,0.66
c_0,4.23,4.69,1.91,11.4,4.12,2.93,1.03,0.99,0.37,1.21,0.91,0.7,0.68,0.55,0.79,0.47
d_0,1.96,4.12,8.15,3.93,4.48,3.97,1.2,1.06,0.91,0.38,1.02,0.8,0.9,0.55,0.89,0.72
b_0,3.33,4.16,3.54,4.54,10.41,3.82,1.22,1.14,0.46,0.76,0.37,0.58,0.76,0.58,0.75,0.46
f_0,3.41,8.79,4.16,4.43,4.38,3.76,1.05,0.85,0.71,0.82,0.88,0.37,0.79,0.74,1.33,0.37
a_0,4.19,4.82,4.04,5.06,7.31,7.81,1.35,1.54,0.88,1.04,0.41,0.74,0.35,0.52,0.89,0.47
h_0,4.56,5.35,4.19,5.61,4.38,3.71,2.74,1.26,0.9,0.86,0.76,0.76,0.74,1.25,0.8,0.63
e_0,7.86,7.68,4.19,5.15,4.82,5.71,1.45,1.05,0.88,1.29,0.9,0.43,0.92,0.56,0.3,0.76
g_0,6.33,5.77,4.75,4.95,5.44,5.02,1.27,2.18,1.02,1.05,0.96,0.91,1.19,0.62,0.83,1.18
