,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.53,0.83,1.28,0.92,0.78,0.69,0.96,0.84,1.02,1.08,0.96,0.74,1.08,0.89,0.96,0.67
d_1,1.01,1.55,0.89,0.71,0.83,0.74,1.1,0.94,1.56,0.92,1.16,1.06,1.07,0.98,1.13,0.87
e_1,0.92,0.86,1.55,1.04,0.83,0.72,1.04,1.07,1.03,1.61,1.05,1.09,1.27,0.82,1.07,0.71
c_1,0.92,0.99,0.8,1.59,1.38,0.75,0.98,0.93,0.74,0.83,0.68,0.91,1.03,0.78,1.07,0.89
b_1,0.97,0.95,0.9,0.78,1.61,1.36,1.09,0.97,0.95,0.99,0.81,1.0,1.08,0.71,0.99,0.96
a_1,1.13,1.09,1.03,0.95,0.74,1.72,1.21,1.17,1.05,1.08,1.26,1.03,1.3,0.79,1.18,0.85
h_1,1.44,1.12,1.17,1.1,1.02,0.91,1.82,1.35,1.34,1.14,1.16,1.21,1.15,1.1,1.53,1.05
g_1,1.16,1.58,0.97,1.08,1.13,0.83,1.29,1.88,1.45,1.09,1.34,1.65,1.47,1.1,1.16,1.38
c_0,1.3,1.2,1.08,1.17,0.94,0.97,1.39,1.34,1.77,1.36,2.21,1.38,1.54,1.49,1.33,1.23
d_0,1.16,0.82,0.96,1.96,1.21,1.02,1.36,1.47,1.07,1.73,1.3,1.31,1.46,1.12,1.43,1.27
b_0,1.24,1.32,1.16,1.4,0.8,0.77,1.55,1.27,1.25,1.5,1.84,1.42,1.65,2.23,1.49,1.19
f_0,1.21,1.3,1.11,1.27,1.05,1.1,1.5,1.21,1.35,1.42,1.27,1.81,1.58,1.21,1.37,2.19
h_0,1.44,1.39,1.14,1.28,1.18,0.98,1.23,1.53,1.43,1.44,1.43,1.25,1.31,1.31,1.84,1.22
a_0,1.29,1.24,1.25,1.36,1.21,0.84,1.54,1.42,1.34,1.51,1.22,1.54,1.78,1.89,1.51,1.48
g_0,1.33,1.59,1.17,1.18,1.29,1.0,1.34,1.25,1.66,1.45,1.34,1.83,1.36,1.39,1.35,1.4
e_0,1.36,1.47,1.15,1.27,1.27,1.09,1.63,1.23,1.39,1.33,1.49,1.12,1.57,1.26,1.46,1.9
