,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.77,0.94,1.17,1.06,1.07,1.09,1.13,1.52,0.92,1.14,0.98,1.11,1.08,1.09,0.96
f_1,1.29,1.0,1.0,0.94,0.93,0.8,0.89,1.0,0.95,0.88,0.89,1.0,0.82,0.86,0.81,1.14
d_1,1.07,1.01,1.0,0.87,1.06,1.05,0.91,0.84,1.01,1.35,0.97,1.03,1.05,0.87,1.07,0.75
c_1,0.86,1.07,1.14,1.0,1.31,0.79,0.96,1.04,0.69,0.84,0.9,0.84,1.0,1.01,1.06,0.94
b_1,0.95,1.07,0.93,0.77,1.0,1.4,1.14,1.18,0.95,1.15,1.09,1.04,1.08,1.04,0.95,1.1
a_1,0.93,1.25,0.96,1.25,0.71,1.0,1.17,0.9,1.0,0.97,1.03,1.09,0.98,0.96,0.84,1.28
h_1,0.92,1.14,1.08,1.03,0.86,0.88,1.0,1.24,0.91,0.96,0.98,1.01,1.03,0.9,0.97,1.15
g_1,0.9,1.02,1.19,1.0,0.86,1.15,0.82,1.0,0.94,0.94,1.25,1.0,0.87,1.1,1.21,0.95
d_0,0.65,0.98,1.05,1.4,1.05,1.03,1.1,1.09,1.0,0.87,1.02,1.03,0.95,1.04,1.04,1.18
c_0,1.06,1.1,0.72,1.1,0.89,0.98,1.03,0.99,1.11,1.0,1.09,1.67,1.15,1.14,0.98,1.15
f_0,0.85,1.08,1.04,1.14,0.99,1.01,1.04,0.8,0.94,0.89,1.0,1.07,1.08,1.1,1.38,1.04
b_0,1.01,1.05,1.0,1.15,1.01,0.84,0.98,0.95,0.97,0.6,0.93,1.0,1.11,1.46,1.1,1.08
h_0,0.87,1.24,0.95,0.98,0.99,0.89,0.97,1.11,1.01,0.87,0.92,0.84,1.0,0.88,0.97,1.16
a_0,0.85,1.22,1.16,0.97,1.01,1.11,1.11,0.91,0.94,0.86,0.91,0.7,1.15,1.0,1.01,0.99
e_0,0.89,1.24,0.97,0.98,1.06,1.02,0.99,0.81,1.02,1.09,0.7,0.97,1.01,1.03,1.0,1.06
g_0,1.06,0.91,1.34,1.08,0.89,0.82,0.89,1.04,0.87,0.88,0.96,0.93,0.85,1.02,0.88,1.0
