,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,35.35,0.11,0.07,0.07,0.06,0.09,0.35,0.29,0.24,0.29,0.33,,0.66,0.38,0.26,0.58
e_1,0.06,37.66,0.05,0.06,0.06,0.07,0.35,0.27,0.62,0.43,0.4,0.36,0.51,0.41,,0.51
d_1,0.06,0.07,38.82,0.07,0.07,0.07,0.36,0.21,,0.72,0.29,0.43,0.59,0.25,0.39,0.58
c_1,0.05,0.08,0.07,45.24,0.14,0.07,0.2,0.25,0.38,,0.42,0.39,0.47,0.33,0.36,0.73
b_1,0.06,0.05,0.07,0.08,51.44,0.13,0.26,0.25,0.45,0.49,,0.47,0.63,0.26,0.45,
a_1,0.09,0.07,0.06,0.05,0.08,70.85,0.33,0.43,0.26,0.39,0.33,,0.48,,0.35,0.51
h_1,0.37,0.17,0.24,0.22,0.25,0.2,26.46,1.19,1.82,1.82,1.41,1.59,,1.01,1.8,2.97
g_1,0.24,0.22,0.33,0.26,0.24,0.2,1.06,34.61,1.24,1.47,1.33,2.45,1.74,2.0,1.65,
d_0,0.36,0.42,,0.74,0.31,0.35,1.74,1.3,18.09,0.98,1.93,1.82,3.28,1.83,2.18,2.28
c_0,0.37,0.37,0.36,,0.35,0.22,1.61,0.96,2.31,15.81,3.43,2.27,3.84,1.44,2.91,2.7
b_0,0.41,0.27,0.35,0.39,,0.2,1.46,1.72,2.21,1.94,20.48,1.73,3.82,2.86,1.43,2.46
f_0,,0.34,0.24,0.25,0.35,0.47,1.66,2.03,2.44,1.91,1.65,21.14,2.6,2.47,3.87,3.73
h_0,0.82,0.48,0.6,0.61,0.46,0.44,,2.93,2.7,2.51,2.72,2.73,,3.0,2.43,7.53
a_0,0.3,0.34,0.33,0.27,0.42,,1.32,1.62,2.26,2.47,1.4,2.23,3.01,30.11,2.26,2.62
e_0,0.28,,0.43,0.46,0.33,0.33,1.43,1.26,1.58,2.22,2.13,2.02,5.29,2.08,27.19,3.06
g_0,0.41,0.44,1.04,0.38,0.5,0.68,1.35,,2.54,3.55,3.86,3.94,4.08,3.92,2.31,
