,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,5.93,0.05,0.07,0.08,0.1,0.06,0.32,0.21,0.7,0.45,0.35,0.38,0.51,,0.64,0.28
f_1,0.13,6.09,0.07,0.07,0.08,0.06,0.39,0.23,0.38,0.45,,0.41,0.73,0.35,0.31,0.43
d_1,0.07,0.08,6.25,0.07,0.08,0.06,0.25,0.21,,0.77,0.39,0.45,0.54,0.43,0.7,0.4
c_1,0.06,0.09,0.08,6.25,0.12,0.09,0.23,0.29,0.51,,0.39,0.36,0.58,0.37,0.54,0.42
b_1,0.08,0.08,0.09,0.08,6.98,0.11,0.26,0.29,0.34,0.41,0.37,,0.74,0.42,0.38,
a_1,0.1,0.07,0.07,0.06,0.08,10.32,0.37,0.25,0.38,0.45,0.35,0.46,0.39,,0.72,
h_1,0.34,0.47,0.28,0.26,0.24,0.32,14.85,1.22,1.41,1.46,1.22,1.52,,1.23,2.79,1.07
g_1,0.17,0.21,0.51,0.3,0.25,0.25,1.48,17.05,1.34,1.0,1.69,1.81,2.24,1.5,,1.51
d_0,0.38,0.39,,0.84,0.47,0.36,1.5,1.77,11.88,1.61,2.0,1.52,3.47,,2.82,1.78
c_0,0.39,0.41,0.34,,0.34,0.33,1.26,1.23,2.16,12.24,2.48,4.3,2.85,1.82,3.03,2.28
f_0,0.39,,0.43,0.38,0.54,0.35,0.96,1.75,2.2,1.81,14.12,1.12,2.4,4.13,2.38,2.16
b_0,0.43,0.37,0.33,0.33,,0.44,1.52,1.31,1.87,1.58,2.62,14.44,3.5,1.93,2.55,3.52
h_0,0.67,0.66,0.47,0.68,0.43,0.5,,3.44,2.22,3.04,2.6,2.78,,2.47,7.0,2.81
e_0,,0.36,0.34,0.41,0.4,,1.77,2.03,,2.03,1.38,1.93,3.49,21.79,2.4,2.06
g_0,0.34,0.66,0.92,0.5,0.49,0.86,2.79,,3.03,3.25,4.07,1.33,3.89,2.57,,
a_0,0.3,0.51,0.38,0.32,,,1.56,1.61,2.2,1.85,1.59,1.7,3.9,2.23,,20.99
