,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.45,3.59,4.33,4.28,4.7,3.93,0.93,1.02,1.3,0.79,0.86,2.7,0.38,1.04,0.69,0.7
d_1,4.78,0.43,4.8,4.32,3.43,4.12,1.6,3.18,0.84,1.2,0.78,0.94,0.58,0.79,0.77,0.43
e_1,2.27,6.03,0.43,4.82,4.78,4.55,1.19,1.06,1.6,0.73,0.96,1.02,0.79,0.82,4.12,0.93
c_1,4.36,5.61,4.42,0.41,5.6,4.92,1.07,0.44,1.48,3.61,0.81,0.86,0.75,0.9,0.82,0.65
b_1,4.81,4.7,4.99,2.95,0.39,4.27,1.67,1.16,1.32,1.31,4.85,0.83,0.77,1.38,1.62,0.73
a_1,9.25,6.28,4.76,5.35,2.91,0.34,1.85,1.18,2.15,1.26,1.41,1.18,0.9,4.45,1.33,0.76
h_1,4.55,4.64,5.6,6.85,4.9,5.65,0.35,1.05,1.55,0.92,0.97,1.15,1.62,0.86,0.84,0.8
d_0,6.3,20.66,2.75,5.28,6.74,5.99,2.04,0.45,1.34,1.01,0.98,0.94,0.86,0.9,1.25,0.99
g_1,6.14,5.18,5.92,5.2,6.7,5.48,1.34,1.68,0.32,1.3,1.24,1.18,0.66,1.42,1.27,1.9
c_0,7.02,2.7,6.0,18.4,6.9,4.86,1.58,1.42,2.07,0.42,1.15,1.0,1.12,1.0,0.95,0.83
b_0,5.42,5.85,5.32,7.43,24.46,8.2,1.44,0.91,1.43,0.55,0.42,1.14,0.78,1.11,1.2,0.69
f_0,31.48,5.76,6.03,5.43,6.37,5.68,1.79,1.2,1.04,1.16,1.38,0.39,0.82,1.32,1.21,0.55
h_0,8.8,5.63,6.49,7.09,6.47,6.6,3.62,1.64,1.71,1.32,1.14,1.46,2.92,1.02,1.09,1.43
a_0,9.61,5.54,7.98,6.32,10.82,,1.94,1.62,2.12,1.67,0.77,1.43,1.16,0.35,1.0,0.86
e_0,14.25,6.09,14.75,10.03,8.55,5.4,1.76,1.64,1.63,1.45,1.24,0.77,0.92,1.7,0.34,0.79
g_0,8.08,7.43,8.49,7.68,7.18,7.43,1.95,1.62,5.01,1.65,1.56,1.65,0.86,1.22,1.34,2.25
