,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.28,0.91,1.0,0.9,0.87,0.86,0.95,1.01,0.91,0.89,1.08,0.79,0.96,0.83,1.11
e_1,0.78,1.0,0.97,1.09,1.09,0.95,1.04,1.12,1.41,1.05,1.23,1.19,1.1,1.12,1.19,1.11
d_1,1.1,1.03,1.0,0.93,0.92,0.92,0.99,0.89,1.11,1.29,0.93,0.95,1.07,0.93,1.14,0.84
c_1,1.0,0.92,1.07,1.0,1.37,0.9,0.96,1.02,0.67,0.61,0.98,0.78,0.95,0.99,0.97,0.97
b_1,1.1,0.91,1.07,0.74,1.0,1.43,1.18,1.05,1.06,0.93,0.9,1.02,1.15,0.76,0.99,0.95
a_1,1.15,1.07,1.08,1.11,0.69,1.0,1.02,0.96,0.82,1.16,1.09,1.13,1.15,0.97,0.98,1.02
h_1,1.14,0.95,1.02,1.03,0.85,0.97,1.0,1.14,1.0,0.83,0.86,0.96,0.94,0.96,0.85,1.17
g_1,1.03,0.92,1.15,1.04,0.95,0.96,0.9,1.0,0.89,1.0,1.21,0.94,0.75,1.15,1.09,0.84
d_0,1.01,0.74,0.98,1.49,0.91,1.26,1.03,1.15,1.0,0.85,1.13,0.89,1.01,1.1,0.76,1.15
c_0,1.13,0.94,0.78,1.39,1.01,0.9,1.2,1.01,1.16,1.0,0.93,1.47,1.11,1.22,1.12,1.0
f_0,1.03,0.79,1.04,1.1,1.08,0.98,1.15,0.83,0.87,1.04,1.0,0.84,1.11,0.98,1.42,0.95
b_0,0.97,0.83,0.96,1.35,1.09,0.88,1.03,1.01,1.07,0.68,1.15,1.0,1.09,1.63,0.91,1.08
h_0,1.28,0.94,0.92,1.01,0.87,0.84,1.12,1.38,0.97,0.9,0.92,0.95,1.0,0.93,0.81,1.28
a_0,0.96,0.88,1.15,1.04,1.3,0.88,1.05,0.89,0.91,0.81,1.06,0.66,1.05,1.0,1.09,1.14
e_0,1.16,0.95,0.88,0.97,1.06,1.07,1.19,0.86,1.3,0.89,0.72,1.07,1.28,0.97,1.0,0.85
g_0,0.92,0.87,1.14,1.07,1.05,0.96,0.87,1.19,0.87,1.01,1.09,0.95,0.8,0.92,1.15,1.0
