,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.93,0.16,0.09,0.11,0.09,0.05,0.06,0.07,0.06,0.07,0.06,,0.06,0.05,0.03,0.04
e_1,0.1,0.93,0.09,0.08,0.1,0.07,0.07,0.11,0.06,0.04,0.08,0.05,0.07,0.04,,0.06
d_1,0.13,0.13,0.93,0.08,0.11,0.05,0.07,,0.11,0.04,0.06,0.06,0.07,0.05,0.04,0.06
c_1,0.1,0.12,0.12,0.93,0.13,0.07,0.05,0.06,,0.07,0.06,0.06,0.06,0.06,0.05,0.05
b_1,0.11,0.13,0.08,0.11,0.93,0.11,0.09,0.09,0.07,0.05,,0.06,0.07,0.03,0.03,0.06
a_1,0.13,0.12,0.15,0.12,0.09,0.93,0.08,0.08,0.07,0.08,,0.08,0.07,,0.06,0.05
h_1,0.43,0.25,0.21,0.35,0.25,0.19,0.71,0.16,0.2,0.2,0.15,0.13,,0.12,0.1,0.19
d_0,0.4,0.28,,0.55,0.27,0.22,0.27,0.58,0.26,0.18,0.17,0.18,0.25,0.14,0.15,0.14
c_0,0.43,0.45,0.25,,0.29,0.26,0.21,0.18,0.59,0.19,0.32,0.22,0.21,0.16,0.11,0.16
g_1,0.25,0.37,0.5,0.3,0.29,0.16,0.19,0.18,0.19,0.71,0.2,0.21,0.14,0.11,0.1,
b_0,0.38,0.33,0.41,0.35,,,0.29,0.29,0.23,0.16,0.57,0.18,0.2,0.25,0.15,0.15
f_0,,0.33,0.38,0.31,0.36,0.21,0.3,0.24,0.27,0.21,0.2,0.57,0.23,,0.29,0.18
h_0,0.75,0.45,0.42,0.35,0.45,0.35,,0.31,0.28,0.34,0.26,0.25,,0.14,0.23,0.28
a_0,0.38,0.45,0.4,0.33,0.39,,0.36,0.27,0.29,0.26,0.19,,0.3,0.58,,
e_0,0.42,,0.37,0.32,0.45,0.27,0.4,0.3,0.29,0.29,0.28,0.15,0.21,,0.57,0.19
g_0,0.65,0.36,0.58,0.47,0.34,0.4,0.34,0.29,0.32,,0.36,0.38,0.28,,0.24,
