,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.67,0.66,0.59,0.73,0.62,0.58,0.92,0.94,0.99,1.59,0.85,0.93,0.91,1.02,0.39,0.9
f_1,1.13,2.84,0.52,0.65,0.5,0.57,0.8,0.71,0.77,0.85,0.36,0.86,0.97,0.91,0.68,0.84
d_1,0.52,0.61,2.97,0.46,0.6,0.63,0.96,0.93,1.83,0.45,1.05,1.11,0.95,0.75,1.18,0.97
c_1,0.58,0.53,0.6,3.33,1.15,0.53,0.94,0.83,0.22,0.88,1.01,0.68,0.91,0.8,0.88,0.9
b_1,0.55,0.69,0.57,0.64,3.59,1.09,0.91,0.89,0.74,0.81,0.97,0.37,0.59,1.08,0.81,0.89
a_1,0.72,0.62,0.63,0.51,0.52,4.95,0.89,0.86,0.91,0.94,1.04,0.94,0.47,1.17,1.21,0.98
h_1,0.62,1.12,0.76,0.75,0.64,0.66,2.9,1.39,1.02,1.0,1.0,1.35,1.24,0.78,1.25,1.58
g_1,0.66,0.67,1.17,0.86,0.73,0.56,0.81,3.35,1.0,0.89,1.67,1.11,1.05,1.36,0.82,0.84
c_0,0.59,0.86,1.06,0.51,0.5,0.74,1.13,1.08,2.3,1.05,1.25,2.74,1.41,1.4,1.53,1.51
d_0,0.72,0.85,0.41,1.42,0.71,0.48,1.1,1.21,0.93,2.33,1.12,1.22,1.36,1.43,1.31,1.08
f_0,0.58,0.42,0.98,0.91,0.61,0.7,1.15,1.11,1.27,1.39,2.95,1.28,1.22,1.26,3.07,1.4
b_0,0.61,0.87,0.88,0.93,0.3,0.58,1.13,1.17,1.13,1.21,1.48,2.86,2.51,1.32,1.41,1.48
a_0,0.65,1.01,0.92,0.77,0.62,0.28,1.26,1.1,1.08,1.16,1.19,1.16,3.6,1.29,1.22,1.37
h_0,0.71,1.2,0.92,0.62,0.62,0.73,0.64,1.58,1.08,0.97,1.09,1.04,1.03,0.76,0.98,1.55
e_0,0.38,0.91,0.83,0.8,0.89,0.66,1.1,1.06,1.21,1.19,1.33,1.53,1.54,1.35,3.85,1.16
g_0,0.7,0.61,1.37,0.77,0.67,0.55,1.01,0.66,1.05,0.98,1.86,1.35,1.23,1.29,1.36,0.89
