,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.82,0.94,1.1,0.9,0.69,0.46,0.48,0.42,0.56,0.4,0.45,0.36,0.34,0.34,0.36
f_1,1.24,1.0,0.88,0.92,0.84,0.7,0.41,0.47,0.38,0.4,0.41,0.35,0.3,0.31,0.25,0.31
d_1,1.05,1.15,1.0,0.9,0.87,0.79,0.5,0.41,0.55,0.43,0.42,0.4,0.39,0.4,0.33,0.3
c_1,0.94,1.06,1.15,1.0,1.28,0.77,0.5,0.5,0.42,0.35,0.39,0.4,0.38,0.34,0.35,0.31
b_1,1.12,1.21,1.13,0.78,1.0,1.19,0.57,0.52,0.52,0.46,0.45,0.46,0.44,0.37,0.38,0.36
a_1,1.42,1.36,1.28,1.3,0.87,1.0,0.74,0.59,0.66,0.62,0.72,0.58,0.61,0.52,0.48,0.41
h_1,2.18,2.44,1.98,1.95,1.79,1.32,1.0,1.09,0.85,0.82,0.79,0.87,0.73,0.7,0.61,0.72
g_1,2.02,2.15,2.34,1.99,1.9,1.66,0.96,1.0,0.98,0.91,0.88,1.06,0.69,0.75,0.77,0.61
c_0,2.36,2.51,1.83,2.41,1.95,1.49,1.18,1.01,1.0,1.17,1.23,0.96,0.89,0.95,0.85,0.76
d_0,1.86,2.43,2.31,2.82,2.25,1.61,1.2,1.04,0.86,1.0,0.93,0.93,0.84,0.71,0.84,0.78
b_0,2.45,2.53,2.37,2.51,2.17,1.37,1.27,1.12,0.81,1.04,1.0,0.9,0.94,1.14,0.74,0.76
f_0,2.14,2.75,2.46,2.54,2.2,1.78,1.2,0.91,1.07,1.09,1.1,1.0,0.94,0.88,1.31,0.7
h_0,2.74,3.33,2.62,2.49,2.24,1.65,1.36,1.45,1.08,1.21,1.07,1.06,1.0,1.01,0.93,0.98
a_0,2.71,3.11,2.5,2.95,2.56,1.95,1.49,1.35,1.09,1.36,0.89,1.16,0.96,1.0,1.04,0.87
e_0,3.09,3.8,3.05,2.77,2.62,2.09,1.71,1.31,1.26,1.22,1.37,0.88,1.13,0.97,1.0,0.96
g_0,2.89,3.17,3.25,3.17,2.97,2.33,1.35,1.62,1.29,1.27,1.31,1.46,1.01,1.12,1.08,1.0
