,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,2.4,1.06,1.1,1.35,1.19,1.06,2.48,2.2,3.79,1.96,2.6,2.56,3.03,2.86,2.37,2.35
f_1,1.73,2.44,0.98,1.12,0.95,1.05,2.02,2.1,2.52,2.63,2.58,1.56,2.39,2.66,2.16,2.24
d_1,1.09,1.28,2.54,0.9,1.18,1.08,2.12,2.08,1.88,3.84,2.8,2.57,3.38,2.79,2.67,2.55
c_1,1.04,1.11,1.29,2.57,1.73,1.05,2.14,2.04,1.94,1.47,1.65,2.26,3.2,3.11,2.68,2.27
b_1,1.02,1.22,1.16,1.02,2.69,1.76,1.75,1.96,2.44,2.92,1.84,2.72,3.42,3.17,2.38,2.79
a_1,1.15,1.22,1.08,1.28,1.04,3.28,2.43,2.53,2.43,1.83,2.75,2.52,3.13,3.05,1.84,2.39
h_1,1.08,1.49,1.3,1.28,1.24,1.04,3.94,2.82,2.3,2.5,2.87,3.41,2.56,4.31,2.87,2.98
g_1,1.17,1.18,1.7,1.3,1.08,1.04,2.37,4.39,2.02,2.67,2.47,4.18,3.13,2.65,3.17,2.97
d_0,1.08,1.34,0.76,2.13,1.26,1.18,2.46,2.64,3.83,2.04,2.98,3.1,3.44,3.29,2.88,3.05
c_0,1.39,1.18,1.24,1.12,0.89,1.42,2.82,2.64,3.11,4.11,5.44,3.25,3.34,4.17,3.15,2.67
b_0,1.15,1.29,1.36,1.6,1.02,1.11,2.71,2.58,2.68,2.02,4.4,2.65,3.65,3.88,5.02,2.87
f_0,1.02,1.04,1.39,1.41,1.19,1.31,2.07,2.34,2.76,2.88,2.98,4.34,3.87,3.94,3.55,5.29
h_0,1.24,1.87,1.18,1.28,1.15,1.17,1.94,3.01,2.69,2.68,2.7,2.42,2.67,4.35,2.92,2.58
g_0,1.16,1.28,1.92,1.28,1.26,1.21,2.19,1.78,2.43,2.35,2.71,3.46,3.12,2.65,2.33,2.47
a_0,1.27,1.36,1.22,1.38,1.22,1.14,2.48,2.2,2.75,3.06,2.61,2.51,3.91,3.74,5.03,2.52
e_0,0.74,1.34,1.3,1.49,1.32,1.26,2.83,2.34,2.83,2.89,2.91,2.54,3.53,3.85,3.11,5.16
