,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.67,2.32,1.96,2.04,1.81,1.96,0.89,0.62,1.38,0.86,0.74,0.7,0.62,0.82,0.42,0.62
f_1,2.0,0.66,2.38,2.32,2.05,1.81,0.71,1.03,0.73,0.74,0.65,1.4,0.42,0.6,0.71,0.54
e_1,2.59,1.33,0.66,2.16,2.03,2.01,1.05,0.97,0.91,0.89,0.87,0.82,0.61,0.66,0.53,1.12
c_1,2.59,2.08,2.14,0.63,2.45,2.13,1.02,0.88,0.54,1.2,0.66,0.93,0.85,0.61,0.65,0.79
b_1,2.29,2.57,2.25,1.46,0.62,2.66,0.98,0.96,0.83,0.81,1.84,0.82,0.64,1.14,0.74,0.79
a_1,2.23,3.15,2.51,2.73,1.65,0.57,1.48,1.84,1.07,0.93,1.16,0.96,0.81,2.13,0.92,1.09
h_1,2.88,2.89,2.45,2.3,2.98,2.19,0.6,1.51,0.89,0.86,0.92,0.82,1.44,0.98,0.89,0.87
g_1,3.43,2.69,3.23,2.65,2.85,2.04,0.87,0.57,1.18,1.09,1.07,1.17,0.77,1.12,0.92,1.05
d_0,3.95,3.09,1.84,3.31,2.92,2.65,1.42,1.4,0.66,0.92,1.17,0.86,0.97,0.77,0.86,1.03
c_0,1.71,3.33,2.82,7.11,3.34,2.72,1.63,1.23,1.35,0.67,1.21,0.99,0.94,0.99,0.85,1.05
b_0,2.65,3.58,2.72,3.99,4.57,2.3,1.45,1.29,1.03,0.63,0.64,0.97,0.9,1.08,0.8,0.77
f_0,2.81,4.96,3.33,2.9,2.84,2.63,1.59,1.09,1.24,1.19,1.28,0.63,0.88,1.11,0.7,1.49
h_0,2.99,3.83,3.55,3.07,3.49,3.44,2.15,1.54,1.21,1.04,1.09,1.22,1.61,1.05,1.13,0.83
a_0,2.93,3.97,3.45,3.66,2.97,,1.42,1.74,1.58,1.16,0.9,0.99,1.03,0.62,1.15,1.33
g_0,3.96,3.14,3.93,4.2,3.15,2.88,1.38,,1.34,1.53,1.23,1.39,0.91,1.19,1.62,1.3
e_0,3.52,5.6,7.14,3.63,3.54,2.98,1.58,1.53,1.1,1.08,1.92,0.6,1.36,1.45,0.99,0.58
