,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.91,0.34,0.34,0.23,0.26,0.17,0.29,0.24,0.52,0.21,0.34,0.25,0.32,0.28,0.18,0.15
e_1,0.28,0.91,0.33,0.35,0.25,0.19,0.31,0.23,0.29,0.49,0.29,0.26,0.27,0.25,0.17,0.12
f_1,0.31,0.55,0.9,0.31,0.24,0.16,0.28,0.2,0.24,0.28,0.24,0.15,0.26,0.19,0.15,0.12
c_1,0.32,0.28,0.32,0.91,0.49,0.17,0.26,0.22,0.13,0.25,0.15,0.19,0.3,0.23,0.15,0.18
b_1,0.33,0.31,0.35,0.3,0.9,0.39,0.24,0.21,0.24,0.26,0.15,0.22,0.28,0.23,0.1,0.16
a_1,0.37,0.35,0.34,0.3,0.25,0.88,0.3,0.23,0.31,0.29,0.28,0.25,0.31,0.19,0.11,0.15
h_1,0.41,0.3,0.47,0.27,0.29,0.19,0.62,0.37,0.34,0.27,0.27,0.26,0.23,0.34,0.2,0.21
g_1,0.61,0.3,0.35,0.27,0.27,0.17,0.28,0.61,0.3,0.2,0.27,0.34,0.29,0.2,0.21,0.21
c_0,0.42,0.38,0.43,0.24,0.21,0.18,0.34,0.26,0.52,0.31,0.56,0.26,0.35,0.29,0.27,0.18
d_0,0.27,0.33,0.4,0.6,0.26,0.18,0.32,0.23,0.19,0.5,0.24,0.25,0.32,0.29,0.19,0.21
b_0,0.4,0.36,0.42,0.38,0.2,0.12,0.33,0.27,0.33,0.34,0.51,0.23,0.36,0.29,0.42,0.2
f_0,0.44,0.33,0.29,0.37,0.27,0.19,0.33,0.28,0.32,0.31,0.31,0.46,0.35,0.29,0.19,0.38
h_0,0.41,0.36,0.51,0.34,0.24,0.18,0.22,0.33,0.29,0.3,0.27,0.2,0.23,0.38,0.15,0.2
g_0,0.53,0.33,0.33,0.3,0.26,0.23,0.3,0.2,0.34,0.29,0.29,0.41,0.3,0.23,0.19,0.21
a_0,0.41,0.33,0.39,0.42,0.32,0.1,0.28,0.28,0.28,0.3,0.27,0.25,0.4,0.31,0.43,0.19
e_0,0.4,0.26,0.42,0.34,0.29,0.2,0.35,0.27,0.28,0.28,0.3,0.29,0.39,0.28,0.21,0.42
