,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.66,1.4,1.22,1.29,1.07,0.99,0.46,0.63,0.43,0.44,0.47,0.64,0.3,0.33,0.42,0.47
e_1,0.84,0.66,1.44,1.45,1.37,1.45,0.65,0.66,0.46,0.58,0.45,0.63,0.36,0.74,0.53,0.41
d_1,1.43,1.37,0.65,1.26,1.19,1.14,0.59,0.39,0.56,0.62,0.49,0.44,0.37,0.44,0.37,0.27
c_1,1.37,1.15,1.63,0.63,1.82,1.2,0.59,0.65,0.65,0.31,0.45,0.45,0.36,0.51,0.45,0.37
b_1,1.67,1.58,1.29,0.82,0.63,1.5,0.64,0.65,0.6,0.57,0.65,0.49,0.55,0.5,0.47,0.42
a_1,2.01,1.64,1.72,1.7,1.07,0.56,0.83,0.82,0.69,0.71,0.76,0.65,0.59,0.61,0.96,0.51
h_1,2.21,1.9,2.06,1.97,1.98,1.51,0.57,0.91,0.71,0.68,0.64,0.77,0.7,0.61,0.65,0.69
g_1,2.04,1.98,2.27,2.01,2.25,2.12,0.87,0.55,0.69,0.75,0.73,0.87,0.5,0.73,0.7,0.61
c_0,2.5,2.61,1.32,3.39,1.96,1.76,1.12,1.11,0.61,1.25,1.11,0.79,0.67,0.79,0.73,0.58
d_0,2.26,1.43,3.05,2.75,2.35,2.08,1.18,1.16,0.71,0.61,0.79,0.77,0.63,0.98,0.92,0.71
b_0,2.3,2.0,2.08,3.01,2.99,1.94,1.18,1.0,0.5,0.89,0.6,0.77,0.71,0.78,0.92,0.64
f_0,3.22,1.81,2.24,2.62,2.05,2.19,1.0,0.67,0.8,0.9,0.81,0.59,0.7,1.24,0.78,0.43
h_0,2.71,2.59,2.58,2.82,2.21,2.43,1.5,1.29,0.88,0.91,0.85,0.84,0.95,0.74,0.83,0.69
e_0,4.11,2.94,2.27,2.99,2.66,1.88,1.44,1.21,0.83,0.86,0.91,0.51,0.91,0.55,0.83,0.65
a_0,2.89,2.5,2.72,3.21,3.03,2.65,1.13,1.19,0.85,1.02,0.54,0.83,0.81,0.82,0.57,0.74
g_0,3.01,2.72,3.13,2.89,2.82,2.61,0.89,1.48,0.99,0.94,1.01,1.1,0.75,0.9,0.77,1.04
