,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,38.23,0.07,0.05,0.08,0.14,0.04,0.37,0.33,0.4,,0.43,0.22,0.74,0.31,0.28,0.53
f_1,0.08,38.43,0.09,0.11,0.06,0.05,0.33,0.3,0.32,0.38,,0.43,0.58,0.22,0.34,0.46
d_1,0.06,0.05,40.03,0.05,0.06,0.06,0.31,0.34,,0.8,0.42,0.56,0.52,0.32,0.36,0.57
e_1,0.06,0.07,0.05,40.56,0.07,0.07,0.24,0.24,0.78,0.22,0.4,0.34,0.87,,,0.71
b_1,0.06,0.08,0.05,0.06,45.11,0.13,0.3,0.27,0.47,0.36,0.42,,0.52,0.5,0.41,0.39
a_1,0.09,0.06,0.05,0.06,0.07,73.83,0.2,0.27,0.4,0.34,0.43,0.32,0.69,0.49,,0.53
h_1,0.21,0.45,0.27,0.22,0.17,0.31,27.17,1.51,1.46,1.64,1.48,1.41,,0.9,1.23,3.36
g_1,0.23,0.17,0.44,0.26,0.21,0.29,0.93,32.24,1.41,1.6,2.29,1.41,1.8,2.06,1.27,
d_0,0.76,0.35,,0.41,0.26,0.42,1.28,1.41,17.64,1.8,2.13,1.82,2.35,2.04,1.99,3.22
c_0,,0.38,0.42,0.26,0.3,0.26,1.55,1.37,1.49,19.96,2.09,4.24,3.1,2.12,2.17,3.39
f_0,0.26,,0.44,0.32,0.5,0.53,1.49,1.25,1.5,2.42,21.85,2.55,1.85,3.32,2.1,2.91
b_0,0.23,0.41,0.41,0.34,,0.29,1.36,1.41,2.66,2.15,1.29,21.23,4.83,2.1,3.21,2.84
h_0,0.47,0.73,0.36,0.56,0.74,0.64,,2.87,3.33,2.94,2.6,2.92,,3.02,4.37,4.45
e_0,0.29,0.33,0.27,,0.45,,2.86,1.15,,,2.18,2.76,3.36,34.81,2.11,2.82
a_0,0.49,0.43,0.35,0.44,0.23,,2.07,1.47,1.91,1.85,,,2.92,,31.07,4.33
g_0,0.68,0.36,0.91,0.64,0.49,0.47,1.84,,3.32,3.1,3.69,2.16,4.68,2.44,3.51,
