,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,97.16,85.16,86.15,133.72,185.69,485.89,12777.58,32063.45,20720.95,22895.61,44247.82,52864.32,109856.26,135451.79,162032.64,181090.86
f_1,56.38,112.48,121.57,138.6,156.92,434.23,10203.69,17919.54,20046.32,27568.83,32380.19,39557.51,96884.83,111341.37,155803.5,124795.01
e_1,57.5,68.45,122.78,162.62,179.84,467.42,10650.32,18615.62,19144.51,35950.69,35071.2,51244.88,104135.02,113993.75,165349.08,150140.91
c_1,54.64,59.18,61.93,184.99,229.66,365.69,7456.64,13664.95,14903.42,17462.17,20470.84,36027.72,81993.88,85239.68,124732.7,132096.79
b_1,49.57,55.31,58.55,84.15,225.26,628.18,8753.08,15674.33,14760.17,17659.85,26663.07,40572.15,76414.89,81945.89,136252.99,119827.42
a_1,36.57,45.97,44.72,83.81,80.15,508.43,6383.48,10799.13,11867.73,13744.4,20975.7,26112.66,57446.54,55796.92,102422.04,80999.64
h_1,15.5,21.9,20.46,38.79,34.69,106.06,3440.45,4755.5,6102.21,5962.35,7766.78,12135.78,22191.96,27727.74,44000.55,38492.5
c_0,12.03,17.18,18.59,25.95,31.01,102.29,2478.24,5056.94,4528.11,5474.9,11686.49,9581.57,22128.04,32277.52,36289.9,37372.66
g_1,15.78,14.53,15.09,29.55,33.59,84.55,1950.03,3981.16,5593.48,4121.4,7178.65,12163.5,18885.3,24103.55,29014.94,39258.67
d_0,10.79,14.27,14.41,39.04,39.25,90.58,2007.26,3357.94,3752.99,5733.2,6816.04,8910.11,18548.04,21202.19,30375.91,29861.4
b_0,10.48,14.03,14.95,29.9,25.51,72.98,2072.78,3090.43,3566.84,4125.16,7755.7,9011.89,18705.79,33691.89,30294.87,32947.21
f_0,10.6,11.12,11.44,23.72,28.86,77.84,1826.51,3313.77,3175.2,3716.01,5322.05,9846.84,16100.78,20282.1,24930.96,42040.83
h_0,8.56,11.83,11.09,17.66,23.25,55.06,1375.96,2479.74,2764.95,3203.05,4190.4,6257.69,11992.78,15374.04,26813.63,19214.48
a_0,7.42,10.11,9.94,17.69,19.25,45.88,1448.38,2351.13,2458.92,2985.14,3357.37,5758.02,13184.83,19329.07,21152.47,20421.49
g_0,9.14,8.22,8.45,16.29,17.62,44.91,1187.23,2411.75,2248.67,2533.86,3758.3,7030.01,10223.38,12931.87,17968.97,20173.9
e_0,6.92,9.5,7.58,15.35,17.98,56.36,1231.4,2199.45,2109.42,2765.92,3657.33,4220.41,11807.7,11850.77,16445.28,22691.25
