,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.08,2.14,2.09,2.58,2.16,2.4,0.5,0.41,0.68,0.46,0.43,0.55,0.26,0.43,0.35,0.43
e_1,1.59,1.09,2.62,2.93,2.52,2.3,0.77,0.54,0.79,0.55,0.51,0.73,0.34,0.46,0.35,0.61
d_1,2.75,2.87,1.09,2.36,2.23,1.86,0.6,0.5,0.46,0.73,0.49,0.46,0.35,0.4,0.25,0.43
c_1,2.79,2.01,3.14,1.09,2.53,2.44,0.82,0.67,0.78,0.34,0.59,0.52,0.35,0.48,0.34,0.47
b_1,4.04,3.34,3.11,1.83,1.11,2.87,1.03,0.99,0.88,0.67,1.01,0.67,0.49,0.61,0.51,0.59
a_1,4.96,5.35,5.35,4.57,2.49,1.13,1.36,1.04,1.4,1.16,1.23,1.03,0.74,1.54,0.84,0.96
h_1,9.71,9.1,8.63,8.78,7.78,7.68,1.51,1.73,2.36,1.98,1.99,1.57,1.63,1.7,1.28,1.69
c_0,13.57,12.51,7.38,15.88,11.62,10.18,3.41,1.78,2.74,3.44,2.44,2.2,1.72,2.22,1.65,2.04
g_1,12.87,11.76,12.57,15.43,9.64,9.59,2.64,2.24,1.6,2.39,2.42,2.2,1.31,2.48,1.82,2.41
d_0,11.63,7.88,16.92,12.8,13.21,12.76,3.79,2.58,4.09,1.87,2.45,2.69,2.05,2.35,1.82,2.64
b_0,13.82,13.99,12.13,18.98,17.36,12.24,3.78,1.73,3.76,3.01,1.81,2.66,1.95,3.0,2.01,2.56
f_0,22.91,14.81,13.76,14.17,11.77,11.84,4.4,2.84,2.86,2.89,2.98,1.81,2.05,3.31,1.42,2.54
h_0,19.17,18.43,18.85,18.55,16.82,14.73,6.39,3.64,6.02,4.08,3.52,3.92,3.4,3.49,2.71,3.28
a_0,21.72,20.11,18.85,23.25,20.83,19.7,6.79,3.58,4.64,4.16,2.23,3.57,3.24,2.19,2.77,4.09
g_0,21.35,20.94,21.15,21.17,21.84,17.26,4.71,4.4,7.93,4.51,4.2,4.77,2.55,4.4,3.59,3.94
e_0,31.85,31.88,20.05,23.25,22.57,19.28,6.49,4.31,5.33,4.36,4.87,2.48,3.67,5.16,2.69,2.18
