,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,5.81,1.57,1.5,1.25,1.07,1.48,3.98,3.94,10.26,5.99,5.88,5.1,6.38,8.39,3.01,10.25
f_1,2.35,6.35,1.45,1.11,1.15,0.97,3.4,4.26,6.02,6.17,6.0,1.83,5.4,9.76,5.43,7.29
c_1,1.05,1.26,6.59,1.2,2.38,1.13,4.56,4.54,6.06,4.64,1.83,7.54,6.79,9.19,6.09,9.71
d_1,1.05,1.26,1.11,6.74,1.34,1.25,5.75,5.81,3.3,8.14,11.95,6.97,6.07,7.84,7.66,7.71
b_1,1.21,1.37,1.23,1.23,7.41,2.63,4.97,3.66,5.05,2.01,6.27,5.31,4.95,10.62,5.85,9.57
a_1,1.26,1.43,1.3,1.48,1.21,9.57,6.43,5.0,5.72,5.64,5.56,5.49,3.64,10.3,6.12,8.66
h_1,1.4,2.26,1.26,1.67,1.77,1.09,16.56,7.68,7.11,7.19,7.45,6.27,6.83,6.46,9.87,15.58
g_1,1.43,1.44,1.48,2.64,1.36,1.11,5.54,19.53,5.83,7.13,6.51,11.92,5.29,10.24,9.12,6.52
d_0,1.47,1.69,3.19,0.7,1.79,1.36,5.19,4.93,15.32,8.02,5.35,7.38,7.85,12.51,8.61,9.9
b_0,1.71,1.6,1.69,1.97,0.61,1.33,6.04,6.05,6.4,16.8,9.29,9.24,18.12,13.19,9.36,11.99
c_0,1.77,1.7,0.99,1.9,1.02,1.71,5.87,5.77,8.0,15.52,16.34,8.17,9.5,12.5,10.02,11.35
f_0,1.3,0.72,1.88,1.74,1.91,1.34,6.0,6.45,7.58,8.41,7.16,20.47,9.97,12.97,20.09,11.01
a_0,1.47,1.71,1.62,1.93,1.85,0.63,5.04,5.2,7.67,8.7,7.64,7.18,22.5,16.14,9.18,13.52
h_0,1.64,2.42,1.72,1.83,1.35,1.33,3.23,8.11,6.12,7.23,6.91,7.41,8.0,5.85,6.38,13.08
e_0,1.08,2.03,1.78,1.61,1.43,1.22,5.66,5.49,7.16,8.87,8.06,9.75,11.02,14.32,23.09,14.27
g_0,1.72,1.3,1.51,2.74,1.44,1.47,4.86,2.91,6.46,9.98,7.9,12.81,9.07,10.9,8.41,9.06
