,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.22,0.02,0.03,0.02,0.02,,0.06,0.05,0.11,,0.06,0.06,0.08,0.05,0.05,0.08
e_1,0.02,2.25,0.03,0.03,0.02,0.03,0.05,0.05,0.05,0.12,0.07,0.04,0.08,0.06,,0.06
f_1,0.03,0.05,2.27,0.04,0.03,0.02,0.05,0.04,0.06,0.06,0.07,,0.08,0.05,0.04,0.04
c_1,0.04,0.04,0.03,2.45,0.05,0.02,0.06,0.05,,0.07,0.05,0.07,0.07,,,0.09
b_1,0.03,0.03,0.03,0.02,2.61,,0.07,0.05,0.06,0.06,,0.05,0.05,0.04,0.07,0.08
a_1,,0.03,0.03,0.02,,3.06,0.05,0.06,0.04,0.08,0.05,0.08,0.09,,,0.07
h_1,0.11,0.09,0.13,0.09,0.12,0.09,2.62,0.25,0.2,0.25,0.19,0.19,,0.16,0.19,0.4
g_1,0.16,0.09,0.06,0.12,0.11,0.07,0.16,2.92,0.27,0.18,0.23,0.34,0.28,0.15,0.23,
c_0,0.15,0.15,0.16,,0.09,0.11,0.23,0.2,1.84,0.32,0.68,0.31,0.47,0.23,0.21,0.32
d_0,,0.12,0.16,0.27,0.15,0.12,0.29,0.24,0.29,1.99,0.31,0.27,0.37,0.21,0.33,0.3
b_0,0.13,0.18,0.14,0.1,,0.06,0.31,0.21,0.39,0.23,2.1,0.2,0.41,0.54,0.17,0.46
f_0,0.17,0.11,,0.11,0.11,0.14,0.33,0.21,0.33,0.31,0.29,2.11,0.45,0.31,0.5,0.27
h_0,0.19,0.24,0.32,0.2,0.26,0.09,,0.55,0.55,0.49,0.27,0.33,,0.37,0.32,0.61
a_0,0.12,0.12,0.15,,0.09,,0.35,0.23,0.51,0.22,0.26,0.35,0.51,2.4,,0.29
e_0,0.18,,0.14,,0.1,,0.28,0.2,0.33,0.41,0.23,0.35,0.43,,2.6,0.35
g_0,0.38,0.17,0.21,0.16,0.17,0.21,0.42,,0.56,0.38,0.28,0.79,0.4,0.34,0.26,
