,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,8425.97,133.21,174.22,261.42,499.69,1715.89,173224.77,1342766.14,556185.52,751054.04,1541469.33,2051841.11,3007673.03,7599320.06,,19909868.74
f_1,209.32,11051.2,209.42,224.59,421.92,1715.74,173913.78,634028.76,530223.86,1089976.5,1483409.02,,4938094.51,8243605.68,4531878.38,12166081.78
d_1,104.11,128.79,16039.27,207.44,426.25,1848.9,211438.17,,510155.49,1735158.44,1443838.35,2247283.6,3991002.34,8403202.94,10518510.56,17281736.15
c_1,105.94,142.73,161.31,20171.06,743.58,2902.82,145862.9,778232.26,469895.6,,1295352.37,1809383.7,4376243.82,9298109.86,8257178.11,23702224.69
b_1,104.87,174.0,266.15,259.12,41427.69,3973.38,185887.61,777340.12,444022.32,742204.12,,2612126.98,3446066.78,8126519.47,7719956.96,
a_1,140.19,142.82,177.89,260.73,433.69,299328.5,172563.84,541217.35,,862754.78,,2483096.56,,6466319.46,10117578.09,13909829.75
h_1,492.98,895.21,789.05,991.25,1706.52,8357.32,8080301.89,2024285.91,1818433.97,3309656.34,6193403.54,7367401.84,16935486.08,,29109406.7,60030209.98
d_0,641.39,722.89,,2246.96,1905.44,10066.38,768372.27,22906720.03,3789172.1,3717652.7,9841052.25,8916487.45,21565753.68,39628356.14,31002411.06,67622515.91
g_1,344.12,372.35,1224.55,751.29,1249.7,,696149.09,2391292.54,34313058.42,4005320.64,5869440.89,12521491.91,14749165.8,38508092.99,33041415.79,
c_0,505.21,868.53,1021.69,,1784.09,9533.13,970685.62,3291234.09,3007962.91,30313443.29,12949843.77,13684492.26,16600792.68,39322780.34,34865130.3,91094794.16
b_0,594.32,896.41,959.81,1033.52,,,1227008.81,4630481.93,2922964.24,4156223.53,57805099.72,12918999.59,,32895204.89,28074405.57,55669040.88
f_0,419.36,,1178.3,1193.75,1766.1,8511.76,862783.78,4163039.42,2536488.92,5345910.51,6409600.38,91918549.43,26247659.89,49738876.16,80418471.82,98763965.75
a_0,794.85,704.29,756.45,1341.59,1608.07,,1126580.55,2924134.9,2969399.29,3884470.45,,14673623.33,227382972.83,36877710.02,36442738.0,
h_0,1077.86,1764.77,1305.54,1522.95,2768.27,17402.31,,6468615.24,4667267.39,5879433.59,9173101.47,15375887.42,27368309.34,,41369086.3,191826820.96
e_0,,631.66,1427.82,1153.1,2764.29,16177.43,667793.54,3164903.89,2457684.63,4204312.07,8121377.65,11210702.12,22888971.73,46710696.65,407194890.75,93855242.47
g_0,910.82,692.72,2236.94,1967.13,,11479.74,1074118.68,3675045.68,,5966880.43,12573918.97,35127189.21,,58544610.73,53434669.22,
