,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.35,1.03,1.28,1.45,2.18,15.37,22.23,24.48,30.58,31.3,37.14,58.69,62.22,62.95,109.78
e_1,0.74,1.0,1.25,1.43,1.47,3.18,17.57,23.28,34.57,29.61,30.05,44.9,69.77,80.91,91.78,115.45
d_1,0.96,0.8,1.0,0.93,1.1,1.95,14.7,24.07,18.34,15.45,24.27,33.88,57.78,65.1,74.85,80.12
c_1,0.79,0.7,1.07,1.0,1.62,1.79,12.48,15.24,13.07,18.07,18.27,31.1,49.87,52.41,64.36,66.45
b_1,0.69,0.68,0.91,0.62,1.0,2.78,12.42,16.78,17.16,19.0,20.07,22.67,36.98,60.35,52.35,91.12
a_1,0.46,0.31,0.51,0.57,0.36,1.0,7.37,8.75,9.73,9.76,10.59,13.51,22.16,29.75,36.47,42.89
h_1,0.07,0.06,0.07,0.08,0.09,0.13,1.0,1.33,1.51,1.62,1.69,2.17,3.7,4.62,4.57,7.19
c_0,0.04,0.05,0.04,0.06,0.06,0.12,0.76,1.0,1.15,1.18,1.75,1.6,3.19,3.14,3.44,4.72
d_0,0.04,0.03,0.06,0.08,0.06,0.11,0.64,0.83,1.0,1.08,1.15,1.66,2.36,2.97,3.52,4.51
g_1,0.03,0.03,0.06,0.05,0.06,0.09,0.62,0.81,0.92,1.0,1.04,1.92,2.75,2.87,3.2,4.7
b_0,0.03,0.03,0.04,0.06,0.05,0.09,0.58,0.6,0.91,0.98,1.0,1.45,3.44,2.74,2.65,4.04
f_0,0.03,0.02,0.03,0.03,0.04,0.07,0.47,0.61,0.6,0.49,0.65,1.0,1.73,2.01,3.2,2.24
a_0,0.02,0.01,0.02,0.02,0.02,0.05,0.27,0.32,0.46,0.34,0.3,0.57,1.0,1.31,1.25,1.9
h_0,0.02,0.01,0.02,0.02,0.02,0.04,0.21,0.3,0.35,0.35,0.39,0.47,0.76,1.0,1.04,1.65
e_0,0.02,0.01,0.01,0.02,0.02,0.03,0.22,0.29,0.29,0.31,0.38,0.3,0.9,0.97,1.0,1.45
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.21,0.22,0.2,0.23,0.4,0.53,0.59,0.7,1.0
