,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,2.04,0.85,0.92,0.65,0.65,0.75,0.84,0.81,1.62,0.96,0.95,0.93,0.95,0.98,0.65,1.0
f_1,1.33,2.16,0.76,0.73,0.62,0.62,0.73,0.88,0.94,0.94,0.9,0.48,0.84,0.97,0.72,0.89
c_1,0.65,0.71,2.24,0.72,1.33,0.69,0.98,0.93,0.91,0.71,0.44,1.13,0.94,0.92,0.98,1.03
d_1,0.65,0.77,0.67,2.37,0.73,0.77,1.09,1.08,0.67,1.23,1.69,1.08,1.01,0.93,1.12,0.91
b_1,0.73,0.72,0.72,0.72,2.49,1.41,0.97,0.86,0.8,0.53,0.88,0.92,0.67,1.01,0.84,1.01
a_1,0.74,0.81,0.77,0.88,0.71,3.12,1.19,1.09,0.85,1.06,0.88,0.9,0.72,1.09,1.03,0.87
h_1,0.78,1.22,0.77,0.89,0.84,0.63,2.08,1.31,0.89,0.99,1.04,0.98,1.05,0.84,1.19,1.4
g_1,0.72,0.77,0.83,1.32,0.7,0.63,1.05,2.47,0.78,1.07,1.06,1.7,0.96,1.03,1.41,0.72
d_0,0.76,0.89,1.48,0.58,0.87,0.72,0.93,0.86,1.61,1.08,0.74,1.01,1.1,1.09,1.15,0.98
b_0,0.81,0.88,0.91,1.02,0.55,0.62,1.11,1.05,0.96,1.88,1.3,1.28,2.49,1.2,1.28,1.22
c_0,0.91,0.93,0.66,0.92,0.62,0.77,1.11,0.98,1.05,2.12,1.81,1.19,1.5,1.24,1.24,1.17
f_0,0.63,0.67,0.89,0.93,0.95,0.72,1.1,1.13,1.0,1.19,1.12,2.18,1.37,1.17,2.45,1.08
a_0,0.78,1.0,0.78,0.97,0.92,0.46,0.99,0.98,1.12,1.12,1.09,1.09,2.24,1.31,1.19,1.39
h_0,0.82,1.12,0.8,0.95,0.75,0.71,0.75,1.38,0.91,1.01,1.0,1.02,1.08,0.77,0.97,1.36
e_0,0.58,1.02,0.96,0.93,0.75,0.6,1.01,1.0,1.04,1.26,1.11,1.23,1.54,1.31,2.47,1.33
g_0,0.81,0.63,0.84,1.32,0.75,0.67,0.96,0.68,0.96,1.26,1.09,1.64,1.31,1.0,1.14,0.91
