,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.93,0.13,0.09,0.1,0.09,0.05,0.07,0.05,0.12,,0.07,0.05,0.07,0.06,0.03,0.03
e_1,0.07,0.93,0.09,0.11,0.08,0.08,0.07,0.06,0.06,0.1,0.07,0.05,0.06,0.05,0.04,
f_1,0.12,0.17,0.93,0.12,0.07,0.06,0.08,0.03,0.07,0.07,0.06,,0.06,0.04,0.04,0.04
c_1,0.1,0.11,0.11,0.93,0.13,0.07,0.09,0.07,,0.06,0.04,0.05,0.08,0.06,0.05,0.06
b_1,0.12,0.13,0.14,0.09,0.93,0.11,0.07,0.06,0.07,0.08,,0.06,0.07,0.06,,0.04
a_1,0.14,0.13,0.12,0.13,0.09,0.93,0.06,0.05,0.09,0.07,0.07,0.07,0.08,0.06,,
h_1,0.28,0.21,0.3,0.23,0.31,0.17,0.71,0.27,0.23,0.15,0.17,0.14,,0.19,0.11,0.1
g_1,0.49,0.24,0.37,0.25,0.3,0.28,0.16,0.71,0.16,0.18,0.22,0.23,0.11,,,
c_0,0.3,0.38,0.34,,0.26,0.17,0.26,0.21,0.57,0.22,0.38,0.16,0.22,0.18,0.17,0.17
d_0,,0.31,0.39,0.52,0.28,0.23,0.29,0.17,0.19,0.59,0.19,0.2,0.22,0.19,0.18,0.13
b_0,0.36,0.31,0.35,0.49,,0.17,0.19,0.21,0.19,0.31,0.59,0.2,0.2,0.2,0.28,
f_0,0.45,0.43,,0.34,0.29,0.24,0.25,0.17,0.31,0.24,0.22,0.58,0.27,0.14,0.18,0.21
h_0,0.45,0.45,0.6,0.4,0.45,0.26,,0.47,0.31,0.31,0.31,0.19,,0.31,,0.24
g_0,0.65,0.49,0.6,0.42,0.38,0.36,0.33,,0.34,0.29,0.23,0.46,0.24,,,0.23
a_0,0.55,0.42,0.41,0.43,,,0.33,,0.22,0.19,0.17,0.23,,,0.58,
e_0,0.66,,0.35,0.29,0.41,,0.35,,0.23,0.3,,0.22,0.24,0.16,,0.59
