,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,9484.36,5175.55,2394.9,3125.31,6198.2,44364.11,2341282.17,8456209.04,7943683.03,10934228.37,25369525.92,9717950.3,100787509.79,86406789.66,173130481.42,115003452.9
e_1,2569.6,12738.47,2309.87,4327.5,7045.26,29371.41,2813292.12,10348420.08,8920037.79,23675774.06,22812744.43,29871702.49,108963918.36,110674787.26,179203396.98,95456309.92
d_1,2147.39,2423.66,14220.76,3310.61,8876.51,31148.13,2968810.13,18592748.82,7796623.42,4236359.14,23374420.64,28377146.39,96440732.55,93896768.85,175222176.65,221486619.06
c_1,2046.22,2176.28,3129.43,18017.97,16111.97,40244.43,2650584.58,3178887.85,7357251.78,11517280.66,16548558.12,24797641.58,103178776.45,77782580.28,184796246.26,165178282.93
b_1,1992.91,2357.03,3358.67,4149.85,47913.95,77371.27,2633473.75,8519070.63,7222467.98,11641774.6,9331792.12,26546103.94,89634611.61,92473090.13,141823437.31,161685657.95
a_1,1846.82,2810.11,3206.15,3962.93,7453.35,356338.07,2751566.46,10280759.9,10718096.61,12373143.72,25266146.21,29489299.14,110884917.59,38979289.19,164542045.91,167687178.0
h_1,3359.29,2783.54,4258.18,3843.92,8676.08,46998.34,8810520.7,10929111.82,14727979.41,15461078.69,30346171.19,30938044.15,58409642.2,93193856.52,314394884.33,187433545.25
c_0,3314.95,3026.4,3608.59,2923.66,7230.83,47243.8,3486295.55,24766444.66,15499509.3,16713711.48,62419156.58,39413215.74,133512592.07,149926707.75,198982042.47,260795478.55
g_1,2435.26,2979.02,5445.68,4306.62,9757.93,40762.92,3087206.45,11801009.82,37374839.02,12831687.42,26507510.22,47313434.46,104637641.2,114307057.62,101067860.06,214857509.06
d_0,2806.24,2819.07,2196.27,9026.1,8855.09,43582.99,3325057.26,8070747.84,11761394.24,31883015.38,33025229.86,32337356.2,121657634.88,139899448.38,286041113.39,252228399.11
b_0,3366.09,3178.67,3924.66,5052.63,3304.72,41808.12,2798841.02,11830586.29,11563375.0,17377995.19,72429818.16,34851413.77,139425428.42,277199654.71,238323937.42,214304465.28
f_0,1747.17,2386.05,4260.82,5099.96,10852.92,51627.89,3705814.93,12537849.6,12064704.85,15622074.83,28227909.43,81753187.49,116776195.54,135250946.84,198219101.73,574384057.72
h_0,4244.36,3122.62,3683.46,4658.71,8502.57,44858.71,1735630.42,11314059.49,17238617.87,14461769.65,29050153.6,30349078.02,83596201.65,109722351.37,256900960.09,153509341.47
a_0,2827.47,2890.93,5044.93,4507.73,9748.8,22119.41,3470115.78,11475210.15,9753065.7,17992895.5,27985042.16,33773478.73,143500641.1,341313063.22,212190274.68,263338870.32
g_0,2253.49,2963.52,5772.02,4861.65,9640.2,35934.25,3189262.86,13028310.93,8696422.52,14755775.71,28931193.1,50832615.53,125484774.56,90969804.04,128771033.83,270351567.51
e_0,3012.67,1755.47,4122.26,5389.1,9629.86,48672.14,3041128.75,14978051.97,8603871.37,15532263.01,24001825.17,34425819.85,135973054.22,98573250.35,260212027.78,687301350.09
