,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,0.92,1.13,0.95,0.84,0.7,0.84,0.73,0.61,0.62,0.69,0.61,0.6,0.61,0.61
f_1,1.17,1.0,0.89,1.01,0.92,0.83,0.56,0.67,0.68,0.57,0.6,0.57,0.51,0.51,0.43,0.6
d_1,1.07,1.12,1.0,0.89,0.94,0.82,0.69,0.65,0.6,0.83,0.69,0.62,0.62,0.6,0.6,0.5
c_1,0.89,1.0,1.12,1.0,1.2,0.86,0.77,0.51,0.69,0.64,0.54,0.63,0.64,0.58,0.59,0.55
b_1,1.09,1.08,1.05,0.86,1.0,1.23,0.8,0.71,0.65,0.75,0.72,0.65,0.62,0.55,0.59,0.63
a_1,1.14,1.22,1.22,1.15,0.83,1.0,0.91,0.87,0.85,0.78,0.91,0.8,0.76,0.68,0.7,0.68
h_1,1.42,1.76,1.37,1.37,1.28,1.12,1.0,0.87,0.94,0.78,0.86,0.77,0.87,0.8,0.75,0.84
d_0,1.24,1.51,1.48,1.96,1.47,1.16,1.14,1.0,1.05,0.8,0.93,0.95,0.97,0.79,0.85,0.94
g_1,1.4,1.45,1.68,1.47,1.55,1.15,1.02,0.95,1.0,0.95,0.93,1.09,0.79,0.88,0.9,0.91
c_0,1.63,1.7,1.29,1.59,1.27,1.23,1.25,1.17,0.99,1.0,1.34,1.0,0.92,0.98,1.0,0.88
b_0,1.57,1.69,1.48,1.78,1.42,1.17,1.14,1.07,1.12,0.75,1.0,0.93,0.95,1.27,0.9,0.85
f_0,1.49,1.69,1.64,1.55,1.5,1.23,1.3,1.1,0.89,0.93,1.07,1.0,0.98,0.98,1.34,0.81
h_0,1.6,1.93,1.67,1.55,1.55,1.27,1.15,1.02,1.25,1.1,1.05,1.05,1.0,0.87,0.88,1.02
a_0,1.64,1.87,1.68,1.77,1.65,1.51,1.3,1.27,1.23,1.03,0.82,1.13,1.1,1.0,1.02,1.05
e_0,1.65,2.28,1.65,1.69,1.6,1.41,1.33,1.17,1.05,1.03,1.1,0.79,1.21,0.99,1.0,0.99
g_0,1.62,1.67,1.99,1.78,1.64,1.42,1.22,1.02,1.1,1.08,1.17,1.29,0.98,0.96,1.01,1.0
