,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.78,0.73,0.58,0.75,0.56,0.5,0.84,1.73,0.86,0.93,0.92,0.9,1.05,0.83,0.99,0.34
f_1,1.08,2.89,0.59,0.56,0.55,0.51,0.84,0.82,0.96,0.96,0.99,0.41,0.9,0.97,0.97,0.88
d_1,0.59,0.76,2.99,0.57,0.47,0.59,1.01,0.39,1.67,0.72,1.21,1.09,0.88,1.01,0.95,0.95
c_1,0.57,0.63,0.49,3.13,1.18,0.6,0.75,0.97,0.26,0.81,0.58,0.9,1.03,0.67,0.88,1.1
b_1,0.59,0.52,0.66,0.59,3.41,1.18,0.83,0.78,0.87,0.77,0.36,0.89,0.88,0.87,0.92,0.95
a_1,0.54,0.54,0.72,0.7,0.58,4.86,1.02,0.82,0.94,0.78,1.05,1.09,1.03,0.58,0.9,1.09
h_1,0.59,1.01,0.91,0.68,0.66,0.65,3.01,1.12,1.14,1.53,1.06,0.94,0.54,1.16,1.51,1.18
d_0,0.65,0.76,0.39,1.42,0.86,0.65,1.08,2.21,0.8,1.3,1.14,1.07,1.32,0.9,1.09,1.25
c_0,0.66,0.77,0.92,0.49,0.58,0.74,1.3,1.09,2.28,1.23,2.46,1.28,1.09,1.66,1.23,1.27
g_1,0.77,0.74,1.08,0.67,0.6,0.54,1.04,1.07,1.09,3.54,1.11,1.97,1.05,1.04,0.72,1.35
b_0,0.78,0.82,0.82,0.77,0.42,0.51,0.98,1.03,1.16,1.2,2.64,1.24,1.57,2.43,1.14,1.29
f_0,0.6,0.53,0.87,0.83,0.83,0.85,1.41,1.1,1.07,1.11,1.32,3.0,1.4,1.24,1.33,2.44
h_0,0.76,1.08,0.82,0.73,0.71,0.65,0.65,1.1,1.13,1.46,1.01,1.26,0.76,1.28,1.59,0.94
a_0,0.82,0.69,0.78,0.82,0.74,0.38,1.38,1.05,1.09,1.28,1.43,1.09,1.38,3.76,1.33,1.22
g_0,0.71,0.56,1.48,0.78,0.72,0.5,1.04,0.92,1.13,0.66,1.23,1.94,1.14,1.12,0.65,1.13
e_0,0.37,0.77,0.91,0.79,0.77,0.82,1.34,0.92,1.15,1.31,1.18,1.28,1.54,1.39,1.5,3.58
