,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.66,1.0,0.72,1.15,1.26,0.94,0.5,0.53,0.48,0.39,0.41,0.47,0.38,0.53,0.41,0.35
d_1,1.23,0.65,1.16,1.02,0.98,0.94,0.45,0.34,0.49,0.41,0.38,0.35,0.3,0.33,0.35,0.22
f_1,1.27,1.03,0.65,1.12,0.97,0.82,0.41,0.53,0.45,0.38,0.36,0.46,0.23,0.33,0.35,0.34
c_1,0.97,1.43,1.11,0.63,1.36,0.98,0.51,0.51,0.27,0.46,0.37,0.39,0.34,0.35,0.34,0.28
b_1,1.08,1.27,1.43,0.77,0.61,1.44,0.53,0.52,0.41,0.57,0.62,0.43,0.37,0.43,0.36,0.37
a_1,1.53,1.34,1.67,1.3,0.73,0.57,0.66,0.62,0.52,0.53,0.64,0.49,0.39,0.43,0.72,0.43
h_1,1.72,1.75,1.93,1.86,1.68,1.51,0.54,0.84,0.65,0.61,0.62,0.68,0.61,0.65,0.57,0.5
g_1,1.69,1.86,1.86,1.79,1.74,1.61,0.7,0.55,0.67,0.66,0.67,0.71,0.44,0.59,0.58,0.54
d_0,1.31,2.56,1.82,2.22,1.88,1.8,0.97,0.94,0.58,0.76,0.62,0.65,0.56,0.65,0.62,0.56
c_0,2.04,1.35,2.04,2.78,1.76,1.65,0.95,0.86,1.01,0.56,0.82,0.75,0.6,0.71,0.77,0.53
b_0,2.12,1.68,2.03,2.54,2.17,1.57,0.99,0.9,0.93,0.49,0.55,0.83,0.58,0.69,0.72,0.62
f_0,1.66,1.98,2.88,2.08,1.93,1.98,0.89,0.65,0.77,0.74,0.77,0.55,0.64,0.93,0.6,0.43
h_0,2.07,2.16,2.87,2.17,2.12,1.83,1.1,1.09,0.83,0.74,0.81,0.74,0.8,0.7,0.66,0.59
e_0,2.24,2.31,3.45,2.54,2.22,1.94,1.01,0.94,0.85,0.83,0.83,0.51,0.63,0.54,0.73,0.54
a_0,2.21,2.13,2.36,2.96,3.16,2.3,1.13,1.13,1.05,0.67,0.52,0.94,0.73,0.76,0.53,0.64
g_0,2.33,2.59,2.53,2.91,2.26,2.15,0.9,1.25,0.96,1.0,0.9,0.91,0.64,0.81,0.73,0.81
