,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.4,0.67,0.69,0.54,0.57,0.55,0.31,0.33,0.29,0.23,0.27,0.24,0.21,0.28,0.26,0.16
f_1,0.54,0.4,0.67,0.62,0.56,0.51,0.26,0.32,0.25,0.35,0.27,0.3,0.19,0.27,0.23,0.24
e_1,0.59,0.42,0.39,0.69,0.66,0.56,0.31,0.34,0.28,0.38,0.28,0.31,0.26,0.28,0.3,0.28
c_1,0.76,0.58,0.48,0.38,0.65,0.53,0.33,0.18,0.29,0.3,0.25,0.27,0.22,0.25,0.27,0.23
b_1,0.63,0.66,0.55,0.42,0.36,0.78,0.34,0.25,0.32,0.31,0.34,0.26,0.24,0.25,0.25,0.21
a_1,0.6,0.68,0.64,0.62,0.35,0.31,0.32,0.26,0.3,0.34,0.37,0.33,0.25,0.38,0.28,0.25
h_1,0.56,0.6,0.57,0.58,0.53,0.53,0.23,0.25,0.24,0.33,0.24,0.27,0.23,0.21,0.25,0.25
d_0,0.68,0.5,0.38,0.68,0.6,0.59,0.36,0.23,0.25,0.36,0.29,0.32,0.24,0.25,0.28,0.3
c_0,0.42,0.62,0.6,0.68,0.58,0.56,0.34,0.32,0.22,0.31,0.3,0.25,0.24,0.27,0.24,0.21
g_1,0.62,0.56,0.52,0.61,0.58,0.53,0.27,0.26,0.25,0.21,0.26,0.28,0.17,0.22,0.24,0.22
b_0,0.5,0.6,0.56,0.74,0.63,0.5,0.32,0.27,0.18,0.29,0.21,0.25,0.23,0.26,0.27,0.21
f_0,0.57,0.66,0.57,0.58,0.57,0.53,0.28,0.26,0.24,0.23,0.26,0.2,0.22,0.25,0.28,0.17
h_0,0.6,0.62,0.54,0.56,0.55,0.5,0.34,0.25,0.24,0.31,0.24,0.26,0.23,0.24,0.23,0.24
a_0,0.51,0.61,0.53,0.59,0.7,0.61,0.34,0.25,0.21,0.36,0.18,0.25,0.2,0.18,0.25,0.21
e_0,0.54,0.73,0.63,0.56,0.54,0.52,0.3,0.28,0.26,0.26,0.26,0.16,0.21,0.24,0.18,0.2
g_0,0.65,0.56,0.53,0.61,0.56,0.56,0.26,0.24,0.26,0.33,0.26,0.27,0.18,0.24,0.22,0.23
