,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.07,10.86,9.99,9.33,8.3,7.71,3.35,,3.13,2.05,3.16,2.6,2.18,2.29,2.62,1.19
f_1,7.92,1.07,8.97,11.67,10.15,6.24,2.61,3.04,3.22,3.18,3.01,,1.94,2.25,1.99,2.03
e_1,9.2,6.76,1.07,9.38,8.71,8.38,3.89,3.32,2.47,4.84,3.5,2.77,2.17,2.53,,2.3
c_1,10.92,9.54,10.76,1.07,10.48,,3.37,2.06,,3.46,2.34,2.65,2.52,3.1,2.84,2.59
b_1,14.15,10.19,10.8,7.04,1.07,14.42,4.39,3.58,3.09,3.78,,3.05,2.71,3.19,2.64,2.06
a_1,14.94,14.33,18.12,,8.43,1.07,3.87,3.08,4.1,4.74,4.85,,3.02,,,2.63
h_1,12.24,12.56,14.13,13.28,10.52,17.79,1.41,4.67,3.87,5.41,3.57,4.38,,3.16,4.67,3.46
d_0,,13.89,9.1,14.86,11.67,14.2,4.62,1.72,4.31,5.07,4.87,3.91,3.15,4.4,3.05,3.45
c_0,10.33,13.41,16.43,,17.33,12.53,5.5,4.68,1.71,5.11,4.36,3.7,3.15,3.43,2.63,3.61
g_1,25.6,20.69,15.49,14.88,15.73,14.61,5.36,5.99,5.38,1.41,4.6,5.44,2.42,,4.23,
b_0,13.07,18.76,18.23,20.84,,13.46,7.39,3.82,3.05,5.69,1.71,4.54,3.68,4.13,,3.55
f_0,15.17,,20.32,16.26,15.18,,7.12,5.39,5.28,4.51,4.6,1.75,4.61,6.01,4.33,2.41
h_0,17.36,14.45,14.78,14.65,15.79,14.75,,4.57,5.45,5.54,4.09,3.79,,4.15,3.74,4.15
a_0,22.39,33.69,23.94,17.9,24.35,,8.49,6.28,6.15,,4.99,4.94,4.47,1.71,,4.54
e_0,21.41,33.31,,20.81,20.88,,8.03,8.51,8.45,8.15,,3.87,5.45,,1.75,3.61
g_0,24.92,19.39,20.4,15.7,28.15,18.52,7.25,5.49,6.4,,5.53,6.7,3.14,4.55,5.81,
