,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.86,0.83,0.74,0.79,0.75,0.36,0.48,0.4,0.32,0.34,0.52,0.24,0.34,0.3,0.33
e_1,0.56,0.41,1.03,0.81,0.87,0.68,0.46,0.63,0.44,0.38,0.36,0.47,0.32,0.35,0.52,0.34
c_1,0.83,0.65,0.39,0.98,0.89,0.85,0.42,0.43,0.23,0.4,0.34,0.32,0.3,0.36,0.38,0.29
d_1,0.83,0.93,0.7,0.39,0.86,0.66,0.41,0.31,0.5,0.4,0.4,0.38,0.33,0.38,0.43,0.23
b_1,0.88,0.81,0.53,0.75,0.37,1.09,0.47,0.44,0.41,0.5,0.55,0.38,0.33,0.33,0.37,0.35
a_1,1.0,0.94,0.81,0.88,0.47,0.3,0.55,0.44,0.34,0.33,0.44,0.33,0.34,0.45,0.31,0.3
h_1,0.81,0.71,0.76,0.72,0.65,0.59,0.25,0.42,0.32,0.3,0.35,0.28,0.42,0.31,0.29,0.35
g_1,0.79,0.62,0.72,0.79,0.71,0.71,0.32,0.22,0.34,0.35,0.32,0.37,0.23,0.43,0.31,0.29
d_0,0.74,0.45,0.92,1.02,0.69,0.77,0.4,0.42,0.25,0.3,0.34,0.29,0.31,0.38,0.31,0.32
c_0,0.76,0.73,1.19,0.45,0.68,0.71,0.42,0.38,0.43,0.25,0.38,0.32,0.33,0.38,0.38,0.28
b_0,0.72,0.68,0.93,0.56,1.11,0.67,0.39,0.36,0.32,0.19,0.23,0.38,0.29,0.38,0.35,0.32
f_0,0.97,0.64,0.82,0.7,0.68,0.73,0.4,0.26,0.32,0.33,0.34,0.22,0.28,0.33,0.36,0.21
h_0,0.81,0.75,0.66,0.68,0.77,0.73,0.45,0.42,0.3,0.3,0.27,0.31,0.32,0.27,0.24,0.28
a_0,0.78,0.75,0.76,0.62,0.74,0.91,0.4,0.32,0.33,0.28,0.2,0.4,0.27,0.2,0.3,0.26
e_0,0.99,0.94,0.71,0.65,0.66,0.74,0.4,0.31,0.32,0.28,0.3,0.19,0.37,0.44,0.19,0.25
g_0,0.69,0.69,0.77,0.76,0.68,0.99,0.28,0.45,0.28,0.31,0.29,0.33,0.21,0.33,0.3,0.34
