,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.19,0.43,0.19,0.18,0.22,0.17,0.41,0.4,0.3,0.48,0.45,0.05,0.54,0.35,0.28,0.55
e_1,0.27,2.26,0.22,0.19,0.17,0.16,0.44,1.0,0.39,0.59,0.4,0.47,0.5,0.34,0.15,0.52
c_1,0.24,0.24,2.37,0.22,0.37,0.17,0.36,0.43,0.28,0.08,0.46,0.46,0.53,0.34,0.33,0.5
d_1,0.26,0.21,0.2,2.43,0.19,0.17,0.4,0.17,0.4,0.8,0.51,0.33,0.66,0.43,0.26,0.63
b_1,0.28,0.21,0.21,0.23,2.56,0.33,0.46,0.38,0.32,0.31,0.06,0.49,0.6,0.27,0.26,0.65
a_1,0.25,0.19,0.23,0.22,0.22,3.03,0.45,0.48,0.39,0.47,0.41,0.54,0.52,0.08,0.43,0.35
h_1,0.6,0.35,0.4,0.39,0.27,0.23,2.77,0.75,0.82,0.83,0.92,0.67,0.37,0.64,0.7,0.8
d_0,0.39,0.32,0.82,0.16,0.32,0.27,0.72,2.21,0.68,0.89,0.94,0.76,1.2,0.64,0.81,0.71
g_1,0.32,0.32,0.42,0.6,0.38,0.25,0.62,0.66,3.17,0.61,0.91,1.35,0.98,0.82,0.75,0.37
c_0,0.44,0.38,0.25,0.49,0.31,0.25,0.8,0.97,0.72,2.38,1.81,0.64,1.12,0.79,0.8,0.84
b_0,0.47,0.43,0.48,0.39,0.13,0.24,0.83,0.91,0.49,0.76,2.47,0.79,1.3,1.39,0.88,0.94
f_0,0.12,0.41,0.47,0.39,0.41,0.22,0.81,0.91,0.68,0.71,0.91,2.64,1.3,1.0,1.87,0.76
h_0,0.58,0.39,0.37,0.39,0.31,0.31,0.31,0.7,0.8,0.63,1.01,0.8,0.34,0.67,0.8,1.13
a_0,0.44,0.42,0.51,0.45,0.34,,0.79,0.94,0.63,0.97,0.63,0.88,1.23,2.86,0.72,1.02
e_0,0.34,,0.52,0.64,0.4,0.28,0.78,0.88,0.85,1.09,0.75,0.85,1.32,0.78,2.92,0.57
g_0,0.38,0.37,0.45,0.61,0.32,0.31,0.67,0.69,0.34,0.69,0.74,1.17,0.93,0.54,0.84,0.29
