,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,11796.48,191.2,208.44,250.51,324.84,1696.75,215715.87,822333.36,304227.69,531713.99,833650.06,1825811.63,5179740.57,,4317601.69,8478847.32
f_1,378.57,14812.38,230.61,137.33,264.41,1562.62,187210.28,344239.28,356590.11,869462.08,,1206802.35,5111006.53,5271338.76,6132261.58,8873385.43
d_1,124.92,235.23,18450.85,208.73,394.71,1335.98,207133.57,,425851.78,1253796.22,1057527.16,1418684.73,5017084.5,6480361.41,4384374.56,9658625.77
c_1,99.97,183.01,221.5,18491.26,802.81,1336.39,207196.94,371818.44,252926.84,,1422626.75,1366558.76,7285092.45,6158226.59,6409892.26,11207433.24
b_1,138.99,180.5,232.38,217.73,37298.66,2562.87,218543.78,469236.55,336982.76,585615.3,1175244.11,,4657000.12,7458916.51,5822802.7,10672424.51
a_1,155.81,195.6,275.48,233.46,299.66,210463.72,168489.25,468165.43,324751.71,413863.95,771238.28,1709636.66,7372239.72,,,8799440.55
h_1,452.81,852.65,784.09,1038.61,1379.6,4900.19,9407316.49,1583255.41,1912255.3,2046498.95,3540537.53,4897438.98,,30200639.14,27505481.55,61516957.58
d_0,861.57,752.4,,2083.08,1952.9,8012.22,931673.71,13321302.69,2035170.25,2206759.34,5740833.07,8508205.54,25478338.78,29148255.57,42475223.23,39968376.57
g_1,592.86,552.18,1136.64,928.67,1268.93,5113.13,660626.16,1211509.55,21758364.34,2503611.17,7871529.9,4102407.63,17838926.76,22321750.49,26331826.04,
c_0,976.98,843.18,1114.19,,1543.42,5441.78,1153064.2,2051285.36,1821327.96,19983981.55,6060299.46,10786810.66,31642540.75,28507778.2,26375816.6,66094452.58
f_0,584.91,,1317.34,989.52,2217.68,11259.44,775861.15,2357920.8,1719733.26,2246080.49,40363101.2,7675739.84,26370143.17,65538500.41,39793153.72,52096835.08
b_0,503.39,1421.83,944.78,946.23,,4934.82,904215.26,2681566.76,1769626.67,3075292.19,4628745.63,58437340.24,26412163.29,31335721.7,63194092.02,58380233.4
h_0,1103.2,1899.28,1774.75,1481.22,2489.75,11236.27,,4447300.62,3525660.89,5226674.68,7728862.3,10738655.26,,26979004.61,43398750.32,96505769.16
e_0,,591.0,679.69,1134.55,1830.76,,1100856.19,2502692.84,1967511.67,3476645.87,4439984.73,6854460.8,42225119.2,352240388.94,,73919312.55
a_0,693.61,1008.2,856.45,1143.68,2537.55,,1210593.01,2312586.59,2216669.83,3345307.8,3836310.05,7370229.88,28376487.61,,328190644.29,67739852.59
g_0,937.78,1130.15,2757.46,1410.22,3200.05,10697.67,1295773.62,3024374.45,,5565419.58,11497481.11,8993253.99,43737313.55,37944926.09,48609976.05,
