,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.92,0.78,1.01,1.07,1.03,1.02,1.02,1.42,0.9,1.03,1.07,1.17,1.0,1.08,1.11
d_1,1.09,1.0,1.08,0.95,0.96,0.83,1.28,0.79,1.18,1.28,1.04,0.9,0.79,1.12,0.95,0.86
f_1,1.29,0.92,1.0,0.95,1.0,1.15,0.75,0.99,0.85,0.93,0.9,1.09,0.87,1.17,0.89,1.11
c_1,0.99,1.05,1.05,1.0,1.4,0.81,1.01,0.95,0.75,0.88,0.79,0.86,1.03,0.96,0.97,0.85
b_1,0.94,1.05,1.0,0.71,1.0,1.52,1.22,1.16,1.06,1.13,0.84,0.98,1.03,0.75,1.03,1.06
a_1,0.97,1.2,0.87,1.24,0.66,1.0,0.87,1.25,1.07,1.13,1.12,1.09,1.31,0.88,1.15,1.21
h_1,0.97,0.8,1.33,1.03,0.77,1.11,1.0,1.08,1.0,1.01,1.09,1.01,1.03,0.9,0.89,1.12
g_1,0.98,1.22,1.0,0.99,0.88,0.77,0.93,1.0,0.84,0.93,0.95,1.29,0.93,0.9,1.05,0.87
d_0,0.66,0.91,1.15,1.41,1.01,0.93,0.98,1.21,1.0,1.01,1.08,1.01,1.11,0.98,1.07,0.98
c_0,1.12,0.78,1.06,1.15,0.93,0.95,0.99,1.15,1.03,1.0,1.38,1.1,1.08,1.17,1.06,0.88
b_0,0.9,0.95,1.1,1.28,1.31,0.89,0.91,1.08,0.93,0.66,1.0,1.01,0.99,1.16,0.93,0.94
f_0,0.93,1.15,1.03,1.15,0.97,0.92,1.06,0.74,1.04,0.96,0.97,1.0,1.1,0.93,1.45,0.81
h_0,0.8,1.24,1.15,0.97,1.02,0.74,1.0,1.09,0.9,0.9,0.94,0.89,1.0,0.93,0.88,1.13
a_0,0.93,0.85,0.88,1.07,1.3,0.92,1.13,1.12,0.95,0.79,0.89,1.13,1.16,1.0,0.95,1.04
e_0,0.84,1.04,1.14,1.1,1.0,0.86,1.14,0.92,1.02,0.96,1.11,0.65,1.09,1.1,1.0,1.24
g_0,0.88,1.2,0.95,1.19,0.93,0.81,0.86,,1.04,1.09,1.11,1.21,0.89,0.98,0.8,1.0
