,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,0.93,1.22,1.08,1.0,0.87,0.84,0.85,0.95,1.01,0.95,0.91,0.95,0.94,0.96,0.95
d_1,1.07,1.0,0.99,0.91,1.0,0.92,1.07,0.86,1.28,1.15,1.01,1.07,0.98,1.12,0.95,0.99
e_1,0.82,1.02,1.0,1.12,1.02,0.88,1.05,1.21,1.06,1.42,1.04,1.13,1.09,0.95,1.12,0.89
c_1,0.92,1.09,0.89,1.0,1.31,1.08,0.97,0.96,0.86,0.7,0.76,0.96,0.91,0.88,0.95,1.03
b_1,1.01,1.0,0.98,0.77,1.0,1.45,1.05,1.03,0.93,0.99,1.05,0.91,1.05,0.95,1.03,1.1
a_1,1.16,1.08,1.13,0.93,0.68,1.0,1.08,1.15,0.94,0.98,1.4,0.93,1.02,1.25,1.05,0.78
h_1,1.21,0.93,0.93,1.01,0.94,0.94,1.0,1.08,0.97,0.96,1.01,0.93,0.93,0.95,1.07,0.93
g_1,1.15,1.21,0.85,0.98,0.97,0.86,0.92,1.0,0.9,0.75,0.93,1.1,0.97,1.04,0.93,0.99
c_0,1.05,0.79,0.92,1.15,0.94,1.09,1.08,1.1,1.0,1.11,1.42,1.12,1.03,1.1,0.92,1.1
d_0,1.0,0.94,0.7,1.46,1.04,1.02,1.07,1.38,0.85,1.0,1.04,1.01,1.05,0.93,1.04,1.15
b_0,1.06,0.99,0.9,1.34,0.98,0.77,1.02,0.97,0.68,0.98,1.0,0.94,1.1,1.54,1.05,1.01
f_0,1.07,0.95,0.87,1.06,0.99,1.14,1.09,0.91,0.91,1.0,0.99,1.0,1.03,0.88,0.88,1.45
h_0,1.06,1.0,0.89,1.13,0.99,0.95,1.05,1.04,0.97,1.01,0.94,0.97,1.0,0.92,1.21,0.96
a_0,1.12,0.93,0.99,1.14,1.0,0.71,0.99,0.96,0.93,1.11,0.65,1.05,1.09,1.0,1.04,1.05
g_0,1.07,1.06,0.9,1.1,0.99,0.96,0.92,1.04,1.07,1.02,0.93,1.16,0.84,0.96,1.0,0.94
e_0,1.12,1.04,1.17,1.01,0.9,1.21,1.11,1.0,0.91,0.84,1.03,0.71,1.03,0.98,1.01,1.0
