,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.18,0.63,0.62,0.52,0.68,0.65,0.14,0.15,0.14,0.21,0.12,0.23,0.07,0.13,0.11,0.12
e_1,0.37,0.17,0.85,0.65,0.73,0.8,0.2,0.15,0.14,0.22,0.14,0.18,0.11,0.27,0.14,0.11
c_1,0.71,0.49,0.15,0.86,0.67,0.69,0.22,0.08,0.25,0.15,0.12,0.12,0.09,0.12,0.12,0.1
d_1,0.67,0.71,0.76,0.15,0.67,0.59,0.16,0.31,0.12,0.12,0.15,0.12,0.1,0.09,0.11,0.05
b_1,0.77,0.91,0.33,0.72,0.13,0.62,0.2,0.14,0.17,0.21,0.38,0.15,0.12,0.11,0.15,0.11
a_1,0.77,0.71,0.68,0.9,0.3,0.1,0.22,0.18,0.15,0.19,0.26,0.13,0.1,0.16,0.78,0.11
h_1,0.49,0.59,0.56,0.51,0.51,0.39,0.06,0.12,0.1,0.17,0.1,0.11,0.12,0.1,0.13,0.08
d_0,0.54,0.3,0.56,0.84,0.62,0.46,0.17,0.07,0.11,0.18,0.12,0.11,0.08,0.11,0.09,0.1
c_0,0.58,0.53,1.21,0.27,0.59,0.47,0.15,0.14,0.06,0.17,0.11,0.12,0.07,0.1,0.1,0.07
g_1,0.58,0.53,0.59,0.51,0.58,0.41,0.12,0.12,0.11,0.05,0.11,0.1,0.06,0.11,0.12,0.09
b_0,0.55,0.42,0.89,0.42,1.35,0.47,0.14,0.12,0.05,0.14,0.05,0.09,0.07,0.11,0.09,0.07
f_0,0.95,0.57,0.51,0.5,0.51,0.39,0.13,0.11,0.1,0.09,0.11,0.05,0.08,0.08,0.11,0.04
h_0,0.56,0.47,0.55,0.43,0.54,0.51,0.25,0.11,0.1,0.15,0.1,0.11,0.11,0.11,0.08,0.08
e_0,0.93,0.68,0.42,0.55,0.47,0.45,0.14,0.09,0.11,0.12,0.1,0.05,0.09,0.04,0.09,0.06
a_0,0.52,0.46,0.74,0.49,0.78,0.78,0.15,0.11,0.08,0.16,0.05,0.09,0.08,0.1,0.04,0.06
g_0,0.52,0.58,0.63,0.48,0.48,0.54,0.1,0.11,0.09,0.29,0.11,0.1,0.06,0.08,0.1,0.1
