,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.44,0.59,0.87,1.01,0.91,0.88,0.25,0.22,0.26,0.18,0.17,0.21,0.13,0.24,0.17,0.14
f_1,0.9,0.43,0.88,0.9,0.9,0.78,0.19,0.21,0.29,0.18,0.17,0.2,0.1,0.15,0.15,0.14
d_1,1.04,1.11,0.4,0.98,1.0,0.82,0.24,0.29,0.16,0.18,0.18,0.17,0.13,0.19,0.15,0.08
c_1,0.78,1.0,1.2,0.4,0.93,0.88,0.28,0.13,0.31,0.28,0.21,0.22,0.14,0.2,0.18,0.13
b_1,1.11,1.04,1.19,0.59,0.38,1.01,0.28,0.21,0.31,0.29,0.39,0.22,0.16,0.23,0.25,0.14
a_1,1.32,1.42,1.66,1.21,0.68,0.31,0.43,0.27,0.35,0.32,0.33,0.27,0.21,0.3,0.62,0.2
h_1,1.75,1.95,1.71,1.84,1.77,1.55,0.29,0.42,0.55,0.33,0.36,0.31,0.32,0.31,0.32,0.24
d_0,1.35,1.94,2.62,2.43,1.94,2.03,0.58,0.3,0.6,0.43,0.41,0.37,0.28,0.38,0.33,0.35
g_1,1.93,2.26,1.88,2.16,1.86,1.87,0.41,0.46,0.26,0.4,0.4,0.38,0.23,0.39,0.32,0.31
c_0,2.4,2.26,1.25,3.03,2.04,1.62,0.57,0.63,0.48,0.3,0.4,0.42,0.28,0.44,0.36,0.26
b_0,2.15,2.04,1.73,3.11,2.92,1.82,0.63,0.5,0.59,0.26,0.28,0.43,0.31,0.41,0.37,0.33
f_0,2.12,3.23,2.04,2.58,2.09,1.95,0.67,0.43,0.41,0.45,0.45,0.28,0.31,0.41,0.41,0.21
h_0,2.39,2.49,2.32,2.55,2.1,2.31,0.86,0.56,0.61,0.53,0.52,0.49,0.45,0.51,0.44,0.38
e_0,3.04,3.62,2.11,3.52,2.94,2.14,0.7,0.54,0.61,0.54,0.48,0.29,0.38,0.24,0.49,0.34
a_0,3.0,2.55,2.17,3.4,3.55,3.62,0.9,0.62,0.65,0.41,0.29,0.7,0.33,0.55,0.25,0.37
g_0,2.82,3.05,2.79,3.2,2.74,2.23,0.69,0.64,0.84,0.66,0.68,0.53,0.33,0.55,0.53,0.49
