,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.18,0.43,0.83,0.74,1.0,0.95,0.25,0.15,0.17,0.13,0.26,0.21,0.13,0.15,0.36,0.18
f_1,0.68,0.18,0.84,0.74,0.72,0.67,0.15,0.18,0.13,0.15,0.21,0.27,0.09,0.17,0.13,0.14
c_1,0.59,0.79,0.16,1.23,0.7,0.7,0.2,0.08,0.38,0.17,0.22,0.15,0.1,0.14,0.17,0.1
d_1,0.91,0.82,0.72,0.15,0.74,0.75,0.21,0.47,0.14,0.18,0.15,0.14,0.1,0.16,0.13,0.07
b_1,0.79,0.83,0.4,0.83,0.13,0.86,0.27,0.22,0.17,0.5,0.26,0.22,0.16,0.2,0.15,0.1
a_1,0.92,1.05,0.77,0.71,0.38,0.09,0.23,0.23,0.2,0.23,0.25,0.15,0.11,0.41,0.16,0.15
h_1,0.58,0.73,0.54,0.59,0.67,0.57,0.06,0.13,0.12,0.12,0.14,0.12,0.14,0.13,0.12,0.09
d_0,0.33,0.66,0.63,1.41,0.59,0.61,0.22,0.07,0.13,0.12,0.25,0.12,0.11,0.11,0.18,0.11
c_0,0.7,0.71,1.85,0.31,0.66,0.48,0.18,0.17,0.06,0.11,0.14,0.12,0.08,0.11,0.13,0.07
b_0,0.51,0.74,0.99,0.48,1.1,0.53,0.16,0.12,0.07,0.05,0.16,0.12,0.09,0.11,0.13,0.1
g_1,0.68,0.72,0.73,0.49,0.84,0.66,0.14,0.13,0.11,0.11,0.04,0.1,0.06,0.09,0.1,0.17
f_0,0.57,1.35,0.76,0.52,0.58,0.54,0.16,0.13,0.11,0.12,0.11,0.04,0.08,0.11,0.12,0.05
h_0,0.57,0.65,0.67,0.52,0.6,0.44,0.33,0.13,0.11,0.12,0.19,0.1,0.13,0.12,0.1,0.08
a_0,0.56,0.54,0.85,0.55,0.82,1.19,0.22,0.15,0.1,0.06,0.14,0.15,0.09,0.04,0.11,0.09
e_0,1.09,0.79,0.55,0.55,0.6,0.47,0.16,0.14,0.11,0.14,0.15,0.06,0.08,0.12,0.04,0.08
g_0,0.61,0.68,0.63,0.49,0.7,0.57,0.14,0.12,0.12,0.1,0.28,0.11,0.06,0.11,0.11,0.12
