,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,5.67,2.7,1.27,1.46,1.4,1.31,5.26,5.02,6.5,7.51,7.47,3.48,7.08,10.85,5.43,9.28
e_1,1.77,6.03,1.42,1.78,1.32,1.34,5.61,6.3,7.38,13.51,7.94,7.4,8.23,11.08,3.95,9.79
d_1,1.63,1.41,6.17,1.49,1.34,1.62,5.49,5.47,12.54,3.33,8.41,7.41,7.82,10.92,7.89,11.85
c_1,1.55,1.21,1.36,6.85,3.08,1.41,5.57,5.21,2.96,6.0,5.91,7.42,7.43,10.59,7.28,11.64
b_1,1.56,1.43,1.67,1.43,7.58,2.88,6.02,5.35,7.05,6.13,3.74,8.51,5.78,10.24,8.14,9.64
a_1,1.42,1.32,1.87,1.8,1.64,11.32,5.78,4.92,6.75,6.44,5.57,6.77,3.93,10.32,8.17,14.52
h_1,2.22,1.79,1.99,1.93,1.63,1.84,15.55,8.19,6.57,8.17,9.64,9.36,9.64,9.98,8.55,18.11
g_1,1.37,1.72,2.83,1.83,1.54,1.96,6.58,20.01,9.75,8.48,8.23,14.09,9.67,14.98,11.02,7.32
c_0,2.33,1.84,1.92,1.14,1.47,2.0,7.29,6.43,16.67,9.48,17.15,9.25,11.63,13.36,10.68,16.23
d_0,1.89,1.74,1.23,3.61,1.83,1.84,6.41,7.24,5.72,16.96,7.99,9.67,9.37,13.67,10.05,11.07
b_0,1.94,1.86,2.01,2.25,1.14,1.32,8.14,7.18,8.41,10.23,19.48,9.3,19.62,16.11,12.13,15.71
f_0,1.53,1.64,2.26,2.11,1.89,1.88,7.23,7.04,8.61,8.29,9.78,20.06,8.98,14.86,19.91,14.5
a_0,2.05,1.91,2.14,2.13,1.78,0.82,7.1,7.79,9.36,9.08,8.47,9.2,23.56,17.85,10.32,15.26
h_0,2.4,1.71,2.25,1.88,1.93,1.64,4.22,8.22,8.73,8.52,7.43,9.53,8.71,7.57,10.16,16.16
e_0,2.59,1.02,2.26,1.89,1.94,1.28,8.32,6.86,9.55,8.36,9.33,9.52,10.48,17.25,27.14,13.18
g_0,1.7,1.51,2.86,1.94,2.19,1.78,6.32,3.55,8.23,7.66,8.05,14.5,11.13,13.29,10.14,9.71
