,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.81,1.14,1.51,1.9,3.93,23.78,27.81,39.79,29.3,52.94,44.36,77.54,107.6,124.4,135.24
f_1,1.24,1.0,0.98,1.31,1.62,3.66,17.57,27.76,29.98,30.92,40.97,42.32,61.62,87.39,80.35,139.99
d_1,0.86,1.02,1.0,1.14,1.46,2.76,19.18,19.36,25.44,36.75,33.46,47.25,64.5,87.89,80.09,85.44
c_1,0.66,0.76,0.87,1.0,2.05,2.21,16.24,22.01,15.95,21.77,32.39,28.12,55.79,66.57,76.28,89.79
b_1,0.51,0.62,0.69,0.49,1.0,2.91,11.43,16.7,16.76,23.77,24.91,22.78,43.64,49.99,52.31,74.05
a_1,0.26,0.27,0.36,0.45,0.34,1.0,7.32,7.61,9.54,9.69,12.6,13.94,23.8,24.83,34.64,37.59
h_1,0.04,0.06,0.05,0.06,0.08,0.14,1.0,1.58,1.44,1.47,2.13,2.1,4.08,4.21,4.29,6.42
g_1,0.04,0.04,0.05,0.04,0.06,0.13,0.63,1.0,1.19,1.34,1.88,1.54,2.22,3.69,3.74,5.19
d_0,0.02,0.03,0.04,0.06,0.06,0.1,0.72,0.8,1.0,0.92,1.29,1.47,2.99,3.14,3.09,4.24
c_0,0.03,0.03,0.03,0.05,0.04,0.1,0.68,0.78,1.11,1.0,1.51,1.92,2.27,2.68,2.6,4.08
f_0,0.02,0.02,0.03,0.03,0.04,0.08,0.48,0.52,0.77,0.69,1.0,1.16,1.88,2.08,3.58,2.31
b_0,0.02,0.02,0.02,0.04,0.04,0.07,0.44,0.66,0.7,0.54,0.9,1.0,1.87,3.1,1.67,2.6
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.25,0.44,0.34,0.46,0.53,0.53,1.0,1.1,1.13,1.81
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.25,0.27,0.32,0.36,0.46,0.34,0.89,1.0,1.06,1.13
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.23,0.27,0.33,0.38,0.29,0.57,0.86,0.99,1.0,1.2
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.2,0.23,0.25,0.44,0.37,0.57,0.93,0.88,1.0
