,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,34.36,0.1,0.07,0.05,0.06,0.06,0.29,0.25,0.45,0.38,0.39,,0.69,0.38,0.39,0.62
e_1,0.06,35.95,0.05,0.05,0.09,0.07,0.25,0.19,0.68,0.43,0.37,0.47,0.53,0.43,,0.53
d_1,0.05,0.06,40.45,0.08,0.08,0.07,0.32,0.29,,0.51,0.39,0.3,0.74,0.37,0.37,0.74
c_1,0.07,0.07,0.07,45.11,0.11,0.05,0.34,0.24,0.34,,0.35,0.36,0.64,0.34,0.38,0.55
b_1,0.06,0.08,0.06,0.08,49.58,0.14,0.27,0.3,0.34,0.37,,0.44,0.54,0.26,0.35,0.5
a_1,0.06,0.08,0.1,0.07,0.06,75.06,0.29,,0.38,0.52,0.27,,0.59,,,0.62
h_1,0.37,0.19,0.31,0.25,0.28,0.24,25.97,1.6,1.13,1.55,1.58,1.14,,1.66,1.1,3.26
g_1,0.2,0.21,0.45,0.22,0.14,0.3,1.2,33.19,1.06,1.34,1.24,2.44,2.71,1.13,1.97,
d_0,0.3,0.42,,0.73,0.38,0.33,1.66,1.27,17.45,1.71,2.13,1.96,3.04,2.01,1.72,2.54
c_0,0.29,0.37,0.27,,0.34,0.35,1.8,1.29,2.63,18.39,3.5,2.39,2.82,1.6,1.82,3.29
b_0,0.43,0.35,0.32,0.31,,0.34,1.75,1.38,2.06,2.02,20.8,2.05,2.42,3.81,1.66,2.46
f_0,,0.21,0.42,0.35,0.4,0.37,1.7,1.61,2.05,2.08,2.23,22.32,2.92,2.4,4.48,1.49
h_0,0.84,0.55,0.51,0.5,0.42,0.58,,3.39,3.68,2.08,2.87,2.25,,3.0,3.52,6.13
a_0,0.56,0.37,0.25,0.33,0.37,,1.25,1.97,1.73,1.93,2.04,1.79,3.16,29.69,,
e_0,0.35,,0.27,0.36,0.3,0.36,1.81,1.9,2.06,2.64,1.8,2.45,2.89,,32.81,3.34
g_0,0.38,0.51,0.93,0.52,0.63,0.46,1.61,,2.47,3.78,2.63,4.66,6.08,2.0,2.33,
