,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.86,0.84,0.72,0.77,0.75,0.33,0.35,0.47,0.32,0.36,0.5,0.25,0.34,0.33,0.3
e_1,0.53,0.41,0.98,0.89,0.89,0.76,0.44,0.45,0.53,0.46,0.38,0.43,0.33,0.37,0.68,0.4
c_1,0.89,0.63,0.39,0.91,0.92,0.79,0.45,0.25,0.42,0.39,0.33,0.33,0.34,0.34,0.36,0.29
d_1,0.89,0.95,0.85,0.38,0.89,0.67,0.39,0.55,0.28,0.39,0.38,0.32,0.28,0.33,0.32,0.23
b_1,0.89,0.8,0.49,0.88,0.37,1.06,0.56,0.39,0.46,0.46,0.67,0.44,0.33,0.42,0.34,0.32
a_1,0.95,0.87,0.77,0.95,0.45,0.3,0.54,0.4,0.54,0.38,0.6,0.39,0.36,0.68,0.41,0.28
h_1,0.75,0.7,0.73,0.77,0.65,0.66,0.24,0.31,0.46,0.33,0.31,0.32,0.35,0.3,0.32,0.34
d_0,0.78,0.48,0.9,0.84,0.72,0.73,0.47,0.26,0.4,0.3,0.32,0.3,0.29,0.35,0.31,0.35
g_1,0.77,0.69,0.78,0.82,0.72,0.54,0.31,0.35,0.22,0.33,0.32,0.35,0.23,0.31,0.36,0.36
c_0,0.79,0.74,1.35,0.44,0.78,0.66,0.41,0.43,0.36,0.24,0.35,0.33,0.33,0.35,0.31,0.31
b_0,0.7,0.71,0.97,0.55,0.99,0.77,0.4,0.33,0.4,0.21,0.22,0.38,0.32,0.39,0.28,0.31
f_0,0.84,0.71,0.77,0.82,0.59,0.7,0.39,0.39,0.24,0.33,0.31,0.22,0.28,0.3,0.38,0.21
h_0,0.77,0.76,0.68,0.69,0.72,0.59,0.49,0.34,0.47,0.29,0.31,0.28,0.34,0.3,0.31,0.29
a_0,0.77,0.73,0.7,0.68,0.84,0.96,0.4,0.33,0.42,0.3,0.21,0.34,0.29,0.21,0.36,0.24
e_0,0.97,0.82,0.66,0.7,0.68,0.71,0.38,0.36,0.33,0.3,0.33,0.19,0.25,0.29,0.2,0.28
g_0,0.76,0.64,0.76,0.78,0.75,0.84,0.29,0.3,0.47,0.31,0.29,0.34,0.23,0.31,0.33,0.33
