,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.88,0.11,0.1,0.07,0.07,0.04,0.07,0.15,0.07,0.08,0.04,0.06,0.08,0.05,0.01,0.05
f_1,0.19,0.88,0.09,0.07,0.06,0.04,0.07,0.07,0.07,0.05,0.04,0.01,0.06,0.06,0.04,0.05
c_1,0.1,0.09,0.87,0.09,0.14,0.05,0.08,0.07,0.01,0.03,0.04,0.05,0.06,0.04,0.06,0.06
d_1,0.09,0.1,0.05,0.88,0.07,0.05,0.08,0.03,0.13,0.09,0.06,0.07,0.08,0.05,0.05,0.07
b_1,0.07,0.11,0.1,0.08,0.87,0.09,0.07,0.1,0.07,0.02,0.03,0.06,0.06,0.04,0.04,0.05
a_1,0.07,0.11,0.09,0.08,0.06,0.87,0.08,0.1,0.1,0.07,0.05,0.06,0.1,0.01,0.06,0.05
h_1,0.15,0.25,0.16,0.14,0.09,0.08,0.52,0.1,0.11,0.1,0.11,0.1,0.03,0.05,0.09,0.11
d_0,0.19,0.16,0.31,0.04,0.09,0.06,0.13,0.39,0.11,0.12,0.09,0.09,0.12,0.08,0.08,0.12
c_0,0.17,0.22,0.06,0.17,0.11,0.07,0.15,0.14,0.38,0.19,0.09,0.12,0.14,0.09,0.08,0.09
b_0,0.24,0.19,0.15,0.12,0.04,0.06,0.15,0.17,0.17,0.38,0.09,0.09,0.12,0.17,0.06,0.12
g_1,0.13,0.18,0.15,0.2,0.1,0.07,0.16,0.12,0.14,0.12,0.51,0.15,0.11,0.1,0.08,0.05
f_0,0.14,0.1,0.17,0.18,0.1,0.1,0.14,0.18,0.15,0.14,0.13,0.4,0.17,0.09,0.17,0.13
h_0,0.15,0.21,0.17,0.15,0.08,0.09,0.06,0.13,0.15,0.11,0.11,0.1,0.06,0.08,0.08,0.13
a_0,0.16,0.15,0.17,0.15,0.11,0.03,0.15,0.18,0.13,0.14,0.13,0.13,0.12,0.37,0.09,0.11
e_0,0.07,0.22,0.14,0.19,0.13,0.09,0.15,0.11,0.16,0.12,0.12,0.13,0.18,0.09,0.35,0.11
g_0,0.11,0.14,0.17,0.24,0.13,0.07,0.12,0.14,0.16,0.09,,0.16,0.13,0.08,0.08,0.04
