,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.44,0.7,1.17,1.21,1.31,1.24,0.31,0.35,0.28,0.26,0.27,0.24,0.23,0.18,0.49,0.19
f_1,1.12,0.43,1.17,1.1,1.22,1.02,0.24,0.38,0.24,0.21,0.32,0.23,0.22,0.12,0.2,0.17
c_1,1.0,1.23,0.41,1.63,1.14,1.01,0.37,0.34,0.14,0.33,0.25,0.27,0.27,0.17,0.25,0.16
d_1,1.41,1.37,1.37,0.4,1.2,1.15,0.35,0.21,0.44,0.22,0.25,0.23,0.25,0.16,0.19,0.11
b_1,1.18,1.37,0.75,1.46,0.4,1.17,0.43,0.43,0.29,0.35,0.27,0.53,0.3,0.22,0.25,0.2
a_1,1.75,2.11,1.64,1.59,0.81,0.31,0.46,0.47,0.4,0.38,0.3,0.5,0.52,0.3,0.34,0.28
h_1,2.05,2.16,2.06,2.04,2.28,1.55,0.3,0.65,0.44,0.43,0.42,0.42,0.4,0.41,0.34,0.31
g_1,2.32,2.45,2.36,2.2,2.67,2.35,0.53,0.29,0.54,0.38,0.45,0.42,0.44,0.27,0.4,0.4
d_0,1.43,2.28,2.41,4.18,2.2,2.39,0.75,0.89,0.34,0.54,0.48,0.64,0.56,0.32,0.58,0.43
c_0,2.96,3.09,3.99,1.5,2.78,2.55,0.87,0.71,0.83,0.31,0.55,0.48,0.48,0.4,0.47,0.42
f_0,2.56,3.71,2.96,2.66,2.6,2.23,0.78,0.5,0.56,0.51,0.3,0.55,0.45,0.46,0.57,0.27
b_0,3.02,2.94,3.3,2.22,3.5,2.46,0.75,0.69,0.59,0.27,0.48,0.28,0.53,0.37,0.43,0.4
a_0,3.24,3.08,3.5,2.46,3.74,3.63,0.93,0.86,0.67,0.47,0.51,0.32,0.28,0.4,0.61,0.43
h_0,3.03,3.01,3.1,2.66,3.06,2.88,1.23,0.87,0.8,0.6,0.63,0.7,0.56,0.57,0.61,0.43
e_0,4.4,4.9,3.22,2.62,3.09,2.59,0.94,0.88,0.78,0.67,0.33,0.78,0.56,0.48,0.28,0.42
g_0,3.31,3.6,3.82,3.1,3.26,3.26,0.8,1.23,0.78,0.7,0.77,0.78,0.71,0.39,0.79,0.66
