,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.92,0.68,0.37,0.36,0.29,0.19,0.32,0.39,0.26,0.32,0.22,0.3,0.36,0.14,0.18,0.24
e_1,0.49,0.92,0.46,0.33,0.3,0.24,0.36,0.6,0.28,0.34,0.32,0.29,0.4,0.18,0.21,0.27
c_1,0.46,0.37,0.92,0.34,0.58,0.29,0.33,0.31,0.28,0.2,0.3,0.2,0.35,0.18,0.19,0.32
d_1,0.44,0.44,0.29,0.92,0.3,0.25,0.37,0.28,0.34,0.63,0.39,0.39,0.36,0.25,0.2,0.3
b_1,0.44,0.4,0.42,0.34,0.9,0.5,0.32,0.41,0.26,0.28,0.29,0.19,0.36,0.21,0.19,0.3
a_1,0.46,0.42,0.43,0.38,0.34,0.89,0.32,0.39,0.25,0.29,0.31,0.3,0.38,0.21,0.18,0.29
h_1,0.57,0.47,0.45,0.41,0.31,0.22,0.66,0.34,0.4,0.33,0.32,0.33,0.29,0.19,0.2,0.37
d_0,0.48,0.41,0.66,0.31,0.39,0.26,0.37,0.53,0.28,0.27,0.38,0.29,0.38,0.2,0.22,0.36
g_1,0.46,0.42,0.36,0.63,0.31,0.22,0.39,0.35,0.63,0.38,0.51,0.36,0.38,0.27,0.28,0.27
c_0,0.5,0.51,0.34,0.46,0.28,0.23,0.41,0.39,0.37,0.55,0.38,0.61,0.42,0.27,0.29,0.35
f_0,0.37,0.35,0.46,0.44,0.39,0.31,0.41,0.42,0.35,0.45,0.58,0.37,0.43,0.5,0.24,0.38
b_0,0.51,0.49,0.43,0.45,0.26,0.21,0.39,0.35,0.37,0.35,0.35,0.55,0.43,0.26,0.43,0.38
h_0,0.6,0.44,0.39,0.4,0.33,0.25,0.31,0.4,0.37,0.33,0.35,0.35,0.35,0.25,0.24,0.39
e_0,0.43,0.36,0.46,0.45,0.41,0.26,0.43,0.41,0.32,0.34,0.39,0.36,0.48,0.48,0.29,0.4
a_0,0.56,0.46,0.46,0.39,0.34,0.2,0.36,0.37,0.29,0.34,0.34,0.31,0.44,0.24,0.46,0.35
g_0,0.36,0.43,0.42,0.57,0.38,0.26,0.36,0.34,0.27,0.43,0.52,0.38,0.4,0.33,0.22,0.28
