,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.06,1.41,2.25,2.05,2.06,1.9,0.9,0.76,0.81,0.61,0.67,0.59,0.53,0.52,0.47,0.78
f_1,2.32,1.06,2.17,1.75,2.13,1.86,0.65,0.67,0.75,0.62,0.64,0.53,0.35,0.5,0.5,0.47
c_1,1.8,2.33,1.06,2.7,2.59,1.91,0.79,0.42,0.74,0.84,0.6,0.6,0.59,0.57,0.56,0.49
d_1,2.69,2.56,2.09,1.05,2.13,1.6,0.78,1.14,0.59,0.74,0.62,0.73,0.52,0.59,0.37,0.51
b_1,2.59,2.6,1.55,2.57,1.07,2.51,1.03,0.77,1.03,0.79,0.76,1.03,0.57,0.66,0.47,0.56
a_1,3.44,3.22,3.19,3.53,1.68,1.07,1.27,1.18,1.15,1.09,1.06,1.46,0.77,1.23,0.86,1.17
h_1,5.38,6.17,5.68,5.0,4.63,4.53,1.32,1.56,1.97,1.34,1.33,1.34,1.36,1.28,1.18,1.15
d_0,3.75,6.74,7.51,8.08,6.85,5.1,2.66,1.48,2.38,1.61,1.69,1.5,1.52,1.62,1.44,1.56
g_1,6.47,7.15,7.02,6.94,5.7,5.2,2.01,2.21,1.34,1.89,1.97,1.77,1.23,1.81,1.63,1.52
c_0,7.25,6.93,10.66,4.23,6.62,5.75,2.95,3.39,2.54,1.47,1.9,2.16,1.42,1.98,1.41,1.63
f_0,7.01,11.73,7.62,7.09,6.76,5.74,2.96,2.34,1.76,2.06,1.54,2.17,1.81,1.86,1.13,2.46
b_0,8.37,8.25,9.29,6.24,9.01,5.92,3.17,2.6,3.09,1.37,2.0,1.45,1.64,2.25,1.45,1.85
h_0,8.81,10.75,7.65,8.14,8.37,7.74,4.5,2.97,3.5,2.79,2.41,2.63,2.52,2.32,2.17,2.0
a_0,9.59,10.47,10.09,9.85,10.73,10.58,3.71,2.84,3.35,2.7,2.48,1.67,2.18,1.56,2.21,2.19
g_0,10.43,10.44,9.57,10.11,11.13,8.7,3.44,3.45,4.89,3.06,3.25,3.1,1.81,2.89,2.55,2.55
e_0,12.82,13.77,11.94,11.19,11.1,7.54,3.97,3.34,4.23,3.4,1.79,3.02,2.65,2.77,2.02,1.64
