,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,2.46,0.78,0.7,0.78,1.33,0.49,1.72,1.51,1.43,0.62,1.93,1.28,2.2,1.67,1.43,1.83
f_1,0.83,2.46,0.88,1.19,0.66,0.56,1.4,1.65,1.4,1.57,0.59,1.78,1.87,1.01,1.7,1.93
d_1,0.72,0.75,2.5,0.66,0.8,0.7,1.55,1.42,0.96,2.86,1.74,2.13,2.13,2.0,1.67,1.88
e_1,0.82,0.67,0.68,2.53,0.78,0.8,1.35,1.35,2.89,1.54,1.78,1.7,2.53,1.02,1.59,2.45
b_1,0.61,0.88,0.64,0.78,2.63,1.43,1.79,1.37,1.9,1.66,1.71,0.77,1.92,1.79,1.71,1.72
a_1,1.12,0.81,0.73,0.7,0.58,3.28,1.31,1.6,1.72,1.73,1.61,1.64,2.16,2.17,0.66,2.24
h_1,0.89,1.39,1.04,0.96,0.76,1.14,3.84,2.2,2.07,2.39,2.3,2.51,1.58,1.67,2.22,3.36
g_1,0.91,0.83,1.44,0.95,0.91,0.87,1.96,4.17,2.02,2.23,3.45,2.18,2.26,2.69,2.73,1.82
d_0,1.76,1.16,0.62,0.89,0.92,0.9,1.63,1.97,3.63,1.89,2.44,2.21,2.42,2.13,2.29,2.76
c_0,0.83,1.13,1.05,1.02,0.83,1.01,2.05,2.1,2.29,3.87,2.53,4.18,3.06,2.8,2.99,3.65
f_0,0.94,0.69,1.25,0.97,1.1,1.28,1.78,1.65,2.09,2.38,4.08,2.71,2.72,3.81,2.65,2.7
b_0,1.02,1.27,1.05,1.09,0.54,0.86,1.73,2.3,2.44,2.04,1.99,4.09,3.03,2.51,4.46,2.96
h_0,0.98,1.31,1.03,0.96,1.03,1.06,1.09,2.77,2.38,2.06,2.36,2.14,1.9,2.05,2.67,3.38
e_0,1.09,1.49,0.96,,1.16,0.91,2.59,1.74,1.91,1.8,2.11,2.5,3.52,4.93,2.42,3.06
a_0,1.31,1.12,1.36,0.98,0.93,,2.12,1.63,2.03,1.63,1.78,1.22,2.45,1.95,4.74,3.27
g_0,1.09,0.87,1.55,0.88,1.07,0.85,1.61,1.28,2.0,1.94,2.89,2.14,2.51,1.86,2.27,1.84
